date,manufacturing
2004-01-01,77.75644914693747
2004-01-02,77.88846349183888
2004-01-03,78.02047783674031
2004-01-04,78.15249218164173
2004-01-05,78.28450652654315
2004-01-06,78.41652087144458
2004-01-07,78.548535216346
2004-01-08,78.68054956124742
2004-01-09,78.81256390614884
2004-01-10,78.94457825105026
2004-01-11,79.07659259595168
2004-01-12,79.20860694085312
2004-01-13,79.34062128575452
2004-01-14,79.47263563065594
2004-01-15,79.60464997555738
2004-01-16,79.7366643204588
2004-01-17,79.8686786653602
2004-01-18,80.00069301026163
2004-01-19,80.13270735516306
2004-01-20,80.26472170006448
2004-01-21,80.39673604496589
2004-01-22,80.52875038986733
2004-01-23,80.66076473476875
2004-01-24,80.79277907967017
2004-01-25,80.92479342457159
2004-01-26,81.05680776947301
2004-01-27,81.18882211437443
2004-01-28,81.32083645927585
2004-01-29,81.45285080417727
2004-01-30,81.5848651490787
2004-01-31,81.71687949398013
2004-02-01,81.84889383888154
2004-02-02,81.79244632588922
2004-02-03,81.73599881289688
2004-02-04,81.67955129990455
2004-02-05,81.62310378691221
2004-02-06,81.56665627391989
2004-02-07,81.51020876092755
2004-02-08,81.45376124793522
2004-02-09,81.39731373494288
2004-02-10,81.34086622195055
2004-02-11,81.28441870895823
2004-02-12,81.22797119596589
2004-02-13,81.17152368297356
2004-02-14,81.11507616998122
2004-02-15,81.05862865698889
2004-02-16,81.00218114399657
2004-02-17,80.94573363100423
2004-02-18,80.8892861180119
2004-02-19,80.83283860501956
2004-02-20,80.77639109202724
2004-02-21,80.7199435790349
2004-02-22,80.66349606604257
2004-02-23,80.60704855305023
2004-02-24,80.5506010400579
2004-02-25,80.49415352706556
2004-02-26,80.43770601407324
2004-02-27,80.38125850108091
2004-02-28,80.32481098808857
2004-02-29,80.26836347509625
2004-03-01,80.21191596210392
2004-03-02,80.02709587924193
2004-03-03,79.84227579637992
2004-03-04,79.65745571351795
2004-03-05,79.47263563065594
2004-03-06,79.28781554779397
2004-03-07,79.10299546493196
2004-03-08,78.91817538206998
2004-03-09,78.73335529920799
2004-03-10,78.548535216346
2004-03-11,78.363715133484
2004-03-12,78.17889505062202
2004-03-13,77.99407496776003
2004-03-14,77.80925488489804
2004-03-15,77.62443480203605
2004-03-16,77.43961471917405
2004-03-17,77.25479463631207
2004-03-18,77.06997455345007
2004-03-19,76.88515447058808
2004-03-20,76.70033438772609
2004-03-21,76.5155143048641
2004-03-22,76.33069422200211
2004-03-23,76.14587413914012
2004-03-24,75.96105405627813
2004-03-25,75.77623397341614
2004-03-26,75.59141389055415
2004-03-27,75.40659380769215
2004-03-28,75.22177372483017
2004-03-29,75.03695364196817
2004-03-30,74.85213355910619
2004-03-31,74.66731347624419
2004-04-01,74.4824933933822
2004-04-02,74.37336153493035
2004-04-03,74.26422967647852
2004-04-04,74.15509781802668
2004-04-05,74.04596595957484
2004-04-06,73.93683410112298
2004-04-07,73.82770224267115
2004-04-08,73.7185703842193
2004-04-09,73.60943852576747
2004-04-10,73.50030666731563
2004-04-11,73.39117480886378
2004-04-12,73.28204295041193
2004-04-13,73.1729110919601
2004-04-14,73.06377923350826
2004-04-15,72.95464737505642
2004-04-16,72.84551551660458
2004-04-17,72.73638365815272
2004-04-18,72.62725179970089
2004-04-19,72.51811994124904
2004-04-20,72.40898808279721
2004-04-21,72.29985622434536
2004-04-22,72.19072436589352
2004-04-23,72.08159250744167
2004-04-24,71.97246064898984
2004-04-25,71.86332879053799
2004-04-26,71.75419693208616
2004-04-27,71.64506507363431
2004-04-28,71.53593321518247
2004-04-29,71.42680135673062
2004-04-30,71.31766949827879
2004-05-01,71.20853763982694
2004-05-02,71.07652329492552
2004-05-03,70.9445089500241
2004-05-04,70.81249460512268
2004-05-05,70.68048026022126
2004-05-06,70.54846591531982
2004-05-07,70.41645157041842
2004-05-08,70.284437225517
2004-05-09,70.15242288061556
2004-05-10,70.02040853571414
2004-05-11,69.88839419081273
2004-05-12,69.7563798459113
2004-05-13,69.62436550100988
2004-05-14,69.49235115610846
2004-05-15,69.36033681120703
2004-05-16,69.22832246630561
2004-05-17,69.09630812140419
2004-05-18,68.96429377650277
2004-05-19,68.83227943160135
2004-05-20,68.70026508669993
2004-05-21,68.56825074179851
2004-05-22,68.43623639689709
2004-05-23,68.30422205199567
2004-05-24,68.17220770709424
2004-05-25,68.04019336219281
2004-05-26,67.9081790172914
2004-05-27,67.77616467238998
2004-05-28,67.64415032748855
2004-05-29,67.51213598258713
2004-05-30,67.38012163768572
2004-05-31,67.24810729278428
2004-06-01,67.11609294788286
2004-06-02,67.19794184172174
2004-06-03,67.27979073556062
2004-06-04,67.3616396293995
2004-06-05,67.4434885232384
2004-06-06,67.52533741707727
2004-06-07,67.60718631091615
2004-06-08,67.68903520475504
2004-06-09,67.77088409859391
2004-06-10,67.8527329924328
2004-06-11,67.93458188627169
2004-06-12,68.01643078011055
2004-06-13,68.09827967394945
2004-06-14,68.18012856778832
2004-06-15,68.26197746162721
2004-06-16,68.34382635546609
2004-06-17,68.42567524930496
2004-06-18,68.50752414314385
2004-06-19,68.58937303698274
2004-06-20,68.67122193082162
2004-06-21,68.7530708246605
2004-06-22,68.83491971849938
2004-06-23,68.91676861233826
2004-06-24,68.99861750617714
2004-06-25,69.08046640001602
2004-06-26,69.1623152938549
2004-06-27,69.24416418769378
2004-06-28,69.32601308153266
2004-06-29,69.40786197537155
2004-06-30,69.48971086921044
2004-07-01,69.57155976304931
2004-07-02,69.59796263202959
2004-07-03,69.62436550100988
2004-07-04,69.65076836999016
