date,auto financing 
2004-01-01,74.50383253447441
2004-01-02,74.44982468196665
2004-01-03,74.39581682945887
2004-01-04,74.3418089769511
2004-01-05,74.28780112444332
2004-01-06,74.23379327193554
2004-01-07,74.17978541942777
2004-01-08,74.12577756692
2004-01-09,74.07176971441223
2004-01-10,74.01776186190445
2004-01-11,73.96375400939668
2004-01-12,73.9097461568889
2004-01-13,73.85573830438112
2004-01-14,73.80173045187335
2004-01-15,73.74772259936557
2004-01-16,73.69371474685781
2004-01-17,73.63970689435003
2004-01-18,73.58569904184226
2004-01-19,73.53169118933448
2004-01-20,73.47768333682671
2004-01-21,73.42367548431893
2004-01-22,73.36966763181115
2004-01-23,73.31565977930339
2004-01-24,73.26165192679561
2004-01-25,73.20764407428784
2004-01-26,73.15363622178006
2004-01-27,73.0996283692723
2004-01-28,73.04562051676452
2004-01-29,72.99161266425673
2004-01-30,72.93760481174897
2004-01-31,72.88359695924119
2004-02-01,72.82958910673342
2004-02-02,72.74299030874681
2004-02-03,72.6563915107602
2004-02-04,72.5697927127736
2004-02-05,72.48319391478701
2004-02-06,72.3965951168004
2004-02-07,72.3099963188138
2004-02-08,72.2233975208272
2004-02-09,72.13679872284058
2004-02-10,72.05019992485398
2004-02-11,71.96360112686739
2004-02-12,71.87700232888078
2004-02-13,71.79040353089418
2004-02-14,71.70380473290759
2004-02-15,71.61720593492097
2004-02-16,71.53060713693436
2004-02-17,71.44400833894775
2004-02-18,71.35740954096116
2004-02-19,71.27081074297456
2004-02-20,71.18421194498795
2004-02-21,71.09761314700135
2004-02-22,71.01101434901474
2004-02-23,70.92441555102813
2004-02-24,70.83781675304154
2004-02-25,70.75121795505494
2004-02-26,70.66461915706833
2004-02-27,70.57802035908173
2004-02-28,70.49142156109514
2004-02-29,70.40482276310851
2004-03-01,70.31822396512192
2004-03-02,70.61526715391469
2004-03-03,70.91231034270743
2004-03-04,71.2093535315002
2004-03-05,71.50639672029295
2004-03-06,71.80343990908571
2004-03-07,72.10048309787847
2004-03-08,72.39752628667122
2004-03-09,72.694569475464
2004-03-10,72.99161266425673
2004-03-11,73.28865585304949
2004-03-12,73.58569904184226
2004-03-13,73.88274223063502
2004-03-14,74.17978541942777
2004-03-15,74.47682860822053
2004-03-16,74.77387179701329
2004-03-17,75.07091498580604
2004-03-18,75.3679581745988
2004-03-19,75.66500136339157
2004-03-20,75.96204455218432
2004-03-21,76.25908774097707
2004-03-22,76.55613092976984
2004-03-23,76.85317411856259
2004-03-24,77.15021730735535
2004-03-25,77.4472604961481
2004-03-26,77.74430368494086
2004-03-27,78.04134687373362
2004-03-28,78.33839006252637
2004-03-29,78.63543325131914
2004-03-30,78.9324764401119
2004-03-31,79.22951962890465
2004-04-01,79.52656281769741
2004-04-02,79.52656281769741
2004-04-03,79.52656281769741
2004-04-04,79.52656281769741
2004-04-05,79.52656281769741
2004-04-06,79.52656281769741
2004-04-07,79.52656281769741
2004-04-08,79.52656281769741
2004-04-09,79.52656281769741
2004-04-10,79.52656281769741
2004-04-11,79.52656281769741
2004-04-12,79.52656281769741
2004-04-13,79.52656281769741
2004-04-14,79.52656281769741
2004-04-15,79.52656281769741
2004-04-16,79.52656281769741
2004-04-17,79.52656281769741
2004-04-18,79.52656281769741
2004-04-19,79.52656281769741
2004-04-20,79.52656281769741
2004-04-21,79.52656281769741
2004-04-22,79.52656281769741
2004-04-23,79.52656281769741
2004-04-24,79.52656281769741
2004-04-25,79.52656281769741
2004-04-26,79.52656281769741
2004-04-27,79.52656281769741
2004-04-28,79.52656281769741
2004-04-29,79.52656281769741
2004-04-30,79.52656281769741
2004-05-01,79.52656281769741
2004-05-02,79.22951962890465
2004-05-03,78.9324764401119
2004-05-04,78.63543325131914
2004-05-05,78.33839006252637
2004-05-06,78.04134687373362
2004-05-07,77.74430368494086
2004-05-08,77.4472604961481
2004-05-09,77.15021730735535
2004-05-10,76.85317411856259
2004-05-11,76.55613092976984
2004-05-12,76.25908774097707
2004-05-13,75.96204455218431
2004-05-14,75.66500136339157
2004-05-15,75.3679581745988
2004-05-16,75.07091498580604
2004-05-17,74.77387179701329
2004-05-18,74.47682860822053
2004-05-19,74.17978541942777
2004-05-20,73.882742230635
2004-05-21,73.58569904184226
2004-05-22,73.28865585304949
2004-05-23,72.99161266425673
2004-05-24,72.694569475464
2004-05-25,72.39752628667122
2004-05-26,72.10048309787847
2004-05-27,71.80343990908571
2004-05-28,71.50639672029295
2004-05-29,71.2093535315002
2004-05-30,70.91231034270743
2004-05-31,70.61526715391469
2004-06-01,70.31822396512192
2004-06-02,70.68097670779915
2004-06-03,71.04372945047635
2004-06-04,71.40648219315356
2004-06-05,71.76923493583078
2004-06-06,72.13198767850801
2004-06-07,72.49474042118521
2004-06-08,72.85749316386243
2004-06-09,73.22024590653965
2004-06-10,73.58299864921688
2004-06-11,73.94575139189408
2004-06-12,74.3085041345713
2004-06-13,74.67125687724852
2004-06-14,75.03400961992574
2004-06-15,75.39676236260294
2004-06-16,75.75951510528016
2004-06-17,76.12226784795739
2004-06-18,76.48502059063459
2004-06-19,76.8477733333118
2004-06-20,77.21052607598904
2004-06-21,77.57327881866625
2004-06-22,77.93603156134346
2004-06-23,78.29878430402067
2004-06-24,78.6615370466979
2004-06-25,79.02428978937512
2004-06-26,79.38704253205232
2004-06-27,79.74979527472954
2004-06-28,80.11254801740677
2004-06-29,80.47530076008398
2004-06-30,80.83805350276118
2004-07-01,81.20080624543841
2004-07-02,80.98477483540731
2004-07-03,80.76874342537621
2004-07-04,80.55271201534511
