date,travel
2004-01-01,101.18290813368418
2004-01-02,100.85651165583359
2004-01-03,100.53011517798299
2004-01-04,100.2037187001324
2004-01-05,99.87732222228179
2004-01-06,99.55092574443121
2004-01-07,99.22452926658062
2004-01-08,98.89813278873001
2004-01-09,98.57173631087943
2004-01-10,98.24533983302884
2004-01-11,97.91894335517824
2004-01-12,97.59254687732765
2004-01-13,97.26615039947704
2004-01-14,96.93975392162646
2004-01-15,96.61335744377587
2004-01-16,96.28696096592526
2004-01-17,95.96056448807468
2004-01-18,95.63416801022407
2004-01-19,95.30777153237348
2004-01-20,94.9813750545229
2004-01-21,94.65497857667229
2004-01-22,94.3285820988217
2004-01-23,94.0021856209711
2004-01-24,93.67578914312051
2004-01-25,93.34939266526993
2004-01-26,93.02299618741932
2004-01-27,92.69659970956873
2004-01-28,92.37020323171815
2004-01-29,92.04380675386754
2004-01-30,91.71741027601695
2004-01-31,91.39101379816636
2004-02-01,91.06461732031576
2004-02-02,90.92505468840723
2004-02-03,90.7854920564987
2004-02-04,90.64592942459018
2004-02-05,90.50636679268165
2004-02-06,90.36680416077311
2004-02-07,90.22724152886458
2004-02-08,90.08767889695605
2004-02-09,89.94811626504753
2004-02-10,89.808553633139
2004-02-11,89.66899100123047
2004-02-12,89.52942836932193
2004-02-13,89.3898657374134
2004-02-14,89.25030310550488
2004-02-15,89.11074047359635
2004-02-16,88.9711778416878
2004-02-17,88.83161520977927
2004-02-18,88.69205257787075
2004-02-19,88.55248994596222
2004-02-20,88.41292731405369
2004-02-21,88.27336468214516
2004-02-22,88.13380205023662
2004-02-23,87.9942394183281
2004-02-24,87.85467678641957
2004-02-25,87.71511415451104
2004-02-26,87.57555152260251
2004-02-27,87.43598889069398
2004-02-28,87.29642625878546
2004-02-29,87.15686362687693
2004-03-01,87.0173009949684
2004-03-02,87.08258029053852
2004-03-03,87.14785958610862
2004-03-04,87.21313888167874
2004-03-05,87.27841817724888
2004-03-06,87.34369747281899
2004-03-07,87.40897676838911
2004-03-08,87.47425606395923
2004-03-09,87.53953535952934
2004-03-10,87.60481465509946
2004-03-11,87.67009395066958
2004-03-12,87.73537324623969
2004-03-13,87.80065254180982
2004-03-14,87.86593183737995
2004-03-15,87.93121113295005
2004-03-16,87.99649042852018
2004-03-17,88.0617697240903
2004-03-18,88.12704901966042
2004-03-19,88.19232831523053
2004-03-20,88.25760761080065
2004-03-21,88.32288690637078
2004-03-22,88.38816620194089
2004-03-23,88.45344549751101
2004-03-24,88.51872479308113
2004-03-25,88.58400408865124
2004-03-26,88.64928338422136
2004-03-27,88.71456267979148
2004-03-28,88.77984197536159
2004-03-29,88.84512127093173
2004-03-30,88.91040056650185
2004-03-31,88.97567986207196
2004-04-01,89.04095915764208
2004-04-02,89.07468679368664
2004-04-03,89.1084144297312
2004-04-04,89.14214206577576
2004-04-05,89.17586970182033
2004-04-06,89.20959733786489
2004-04-07,89.24332497390945
2004-04-08,89.27705260995401
2004-04-09,89.31078024599857
2004-04-10,89.34450788204313
2004-04-11,89.37823551808769
2004-04-12,89.41196315413225
2004-04-13,89.44569079017683
2004-04-14,89.47941842622139
2004-04-15,89.51314606226595
2004-04-16,89.54687369831049
2004-04-17,89.58060133435505
2004-04-18,89.61432897039961
2004-04-19,89.64805660644417
2004-04-20,89.68178424248875
2004-04-21,89.7155118785333
2004-04-22,89.74923951457787
2004-04-23,89.78296715062243
2004-04-24,89.81669478666699
2004-04-25,89.85042242271155
2004-04-26,89.8841500587561
2004-04-27,89.91787769480067
2004-04-28,89.95160533084524
2004-04-29,89.9853329668898
2004-04-30,90.01906060293436
2004-05-01,90.05278823897892
2004-05-02,90.18334683011915
2004-05-03,90.3139054212594
2004-05-04,90.44446401239964
2004-05-05,90.57502260353986
2004-05-06,90.70558119468011
2004-05-07,90.83613978582035
2004-05-08,90.96669837696058
2004-05-09,91.09725696810082
2004-05-10,91.22781555924105
2004-05-11,91.35837415038131
2004-05-12,91.48893274152154
2004-05-13,91.61949133266177
2004-05-14,91.75004992380201
2004-05-15,91.88060851494225
2004-05-16,92.01116710608248
2004-05-17,92.14172569722272
2004-05-18,92.27228428836295
2004-05-19,92.4028428795032
2004-05-20,92.53340147064344
2004-05-21,92.66396006178367
2004-05-22,92.7945186529239
2004-05-23,92.92507724406416
2004-05-24,93.05563583520438
2004-05-25,93.18619442634463
2004-05-26,93.31675301748486
2004-05-27,93.4473116086251
2004-05-28,93.57787019976534
2004-05-29,93.70842879090557
2004-05-30,93.8389873820458
2004-05-31,93.96954597318606
2004-06-01,94.10010456432629
2004-06-02,94.23501510850454
2004-06-03,94.36992565268278
2004-06-04,94.50483619686104
2004-06-05,94.63974674103926
2004-06-06,94.77465728521751
2004-06-07,94.90956782939575
2004-06-08,95.04447837357401
2004-06-09,95.17938891775225
2004-06-10,95.3142994619305
2004-06-11,95.44921000610874
2004-06-12,95.584120550287
2004-06-13,95.71903109446522
2004-06-14,95.85394163864348
2004-06-15,95.98885218282172
2004-06-16,96.12376272699997
2004-06-17,96.25867327117822
2004-06-18,96.39358381535646
2004-06-19,96.52849435953472
2004-06-20,96.66340490371294
2004-06-21,96.7983154478912
2004-06-22,96.93322599206944
2004-06-23,97.06813653624769
2004-06-24,97.20304708042593
2004-06-25,97.33795762460419
2004-06-26,97.47286816878243
2004-06-27,97.60777871296068
2004-06-28,97.7426892571389
2004-06-29,97.87759980131716
2004-06-30,98.0125103454954
2004-07-01,98.14742088967365
2004-07-02,97.88630370739317
2004-07-03,97.62518652511271
2004-07-04,97.36406934283222
