date,shopping 
2004-01-01,68.26985800645944
2004-01-02,68.12868791132615
2004-01-03,67.98751781619286
2004-01-04,67.84634772105957
2004-01-05,67.70517762592628
2004-01-06,67.56400753079299
2004-01-07,67.4228374356597
2004-01-08,67.28166734052641
2004-01-09,67.1404972453931
2004-01-10,66.99932715025983
2004-01-11,66.85815705512654
2004-01-12,66.71698695999324
2004-01-13,66.57581686485996
2004-01-14,66.43464676972667
2004-01-15,66.29347667459336
2004-01-16,66.15230657946007
2004-01-17,66.0111364843268
2004-01-18,65.86996638919351
2004-01-19,65.7287962940602
2004-01-20,65.58762619892693
2004-01-21,65.44645610379364
2004-01-22,65.30528600866033
2004-01-23,65.16411591352704
2004-01-24,65.02294581839377
2004-01-25,64.88177572326046
2004-01-26,64.74060562812717
2004-01-27,64.5994355329939
2004-01-28,64.45826543786059
2004-01-29,64.3170953427273
2004-01-30,64.17592524759401
2004-01-31,64.03475515246072
2004-02-01,63.89358505732743
2004-02-02,63.98412863558533
2004-02-03,64.07467221384324
2004-02-04,64.16521579210114
2004-02-05,64.25575937035904
2004-02-06,64.34630294861695
2004-02-07,64.43684652687485
2004-02-08,64.52739010513275
2004-02-09,64.61793368339066
2004-02-10,64.70847726164857
2004-02-11,64.79902083990646
2004-02-12,64.88956441816437
2004-02-13,64.98010799642228
2004-02-14,65.07065157468017
2004-02-15,65.16119515293808
2004-02-16,65.25173873119599
2004-02-17,65.34228230945389
2004-02-18,65.4328258877118
2004-02-19,65.5233694659697
2004-02-20,65.6139130442276
2004-02-21,65.70445662248551
2004-02-22,65.7950002007434
2004-02-23,65.88554377900132
2004-02-24,65.97608735725922
2004-02-25,66.06663093551711
2004-02-26,66.15717451377503
2004-02-27,66.24771809203293
2004-02-28,66.33826167029083
2004-02-29,66.42880524854874
2004-03-01,66.51934882680663
2004-03-02,66.46288078875332
2004-03-03,66.40641275070001
2004-03-04,66.34994471264669
2004-03-05,66.29347667459336
2004-03-06,66.23700863654005
2004-03-07,66.18054059848674
2004-03-08,66.12407256043342
2004-03-09,66.06760452238011
2004-03-10,66.0111364843268
2004-03-11,65.95466844627347
2004-03-12,65.89820040822016
2004-03-13,65.84173237016684
2004-03-14,65.78526433211353
2004-03-15,65.7287962940602
2004-03-16,65.67232825600689
2004-03-17,65.61586021795358
2004-03-18,65.55939217990026
2004-03-19,65.50292414184695
2004-03-20,65.44645610379364
2004-03-21,65.38998806574031
2004-03-22,65.33352002768699
2004-03-23,65.27705198963368
2004-03-24,65.22058395158037
2004-03-25,65.16411591352704
2004-03-26,65.10764787547373
2004-03-27,65.05117983742042
2004-03-28,64.99471179936711
2004-03-29,64.93824376131377
2004-03-30,64.88177572326046
2004-03-31,64.82530768520715
2004-04-01,64.76883964715383
2004-04-02,64.76883964715383
2004-04-03,64.76883964715383
2004-04-04,64.76883964715383
2004-04-05,64.76883964715383
2004-04-06,64.76883964715383
2004-04-07,64.76883964715383
2004-04-08,64.76883964715383
2004-04-09,64.76883964715383
2004-04-10,64.76883964715383
2004-04-11,64.76883964715383
2004-04-12,64.76883964715383
2004-04-13,64.76883964715383
2004-04-14,64.76883964715383
2004-04-15,64.76883964715383
2004-04-16,64.76883964715383
2004-04-17,64.76883964715383
2004-04-18,64.76883964715383
2004-04-19,64.76883964715383
2004-04-20,64.76883964715383
2004-04-21,64.76883964715383
2004-04-22,64.76883964715383
2004-04-23,64.76883964715383
2004-04-24,64.76883964715383
2004-04-25,64.76883964715383
2004-04-26,64.76883964715383
2004-04-27,64.76883964715383
2004-04-28,64.76883964715383
2004-04-29,64.76883964715383
2004-04-30,64.76883964715383
2004-05-01,64.76883964715383
2004-05-02,64.7970736661805
2004-05-03,64.82530768520715
2004-05-04,64.8535417042338
2004-05-05,64.88177572326046
2004-05-06,64.91000974228712
2004-05-07,64.93824376131377
2004-05-08,64.96647778034044
2004-05-09,64.99471179936711
2004-05-10,65.02294581839377
2004-05-11,65.05117983742042
2004-05-12,65.07941385644708
2004-05-13,65.10764787547373
2004-05-14,65.13588189450039
2004-05-15,65.16411591352704
2004-05-16,65.19234993255371
2004-05-17,65.22058395158037
2004-05-18,65.24881797060702
2004-05-19,65.27705198963368
2004-05-20,65.30528600866033
2004-05-21,65.33352002768699
2004-05-22,65.36175404671366
2004-05-23,65.38998806574031
2004-05-24,65.41822208476697
2004-05-25,65.44645610379364
2004-05-26,65.47469012282029
2004-05-27,65.50292414184695
2004-05-28,65.5311581608736
2004-05-29,65.55939217990026
2004-05-30,65.58762619892693
2004-05-31,65.61586021795358
2004-06-01,65.64409423698024
2004-06-02,65.84832030793973
2004-06-03,66.05254637889922
2004-06-04,66.25677244985872
2004-06-05,66.46099852081821
2004-06-06,66.66522459177772
2004-06-07,66.86945066273721
2004-06-08,67.0736767336967
2004-06-09,67.27790280465618
2004-06-10,67.48212887561567
2004-06-11,67.68635494657518
2004-06-12,67.89058101753467
2004-06-13,68.09480708849416
2004-06-14,68.29903315945366
2004-06-15,68.50325923041315
2004-06-16,68.70748530137264
2004-06-17,68.91171137233214
2004-06-18,69.11593744329164
2004-06-19,69.32016351425113
2004-06-20,69.52438958521063
2004-06-21,69.72861565617012
2004-06-22,69.93284172712961
2004-06-23,70.1370677980891
2004-06-24,70.3412938690486
2004-06-25,70.54551994000809
2004-06-26,70.74974601096758
2004-06-27,70.95397208192708
2004-06-28,71.15819815288657
2004-06-29,71.36242422384606
2004-06-30,71.56665029480557
2004-07-01,71.77087636576506
2004-07-02,71.77087636576506
2004-07-03,71.77087636576506
2004-07-04,71.77087636576506
