date,mortgage 
2004-01-01,84.76010190638291
2004-01-02,84.70313947230605
2004-01-03,84.64617703822918
2004-01-04,84.58921460415232
2004-01-05,84.53225217007542
2004-01-06,84.47528973599856
2004-01-07,84.41832730192169
2004-01-08,84.36136486784483
2004-01-09,84.30440243376796
2004-01-10,84.24743999969108
2004-01-11,84.19047756561422
2004-01-12,84.13351513153735
2004-01-13,84.07655269746047
2004-01-14,84.0195902633836
2004-01-15,83.96262782930673
2004-01-16,83.90566539522986
2004-01-17,83.848702961153
2004-01-18,83.79174052707613
2004-01-19,83.73477809299926
2004-01-20,83.67781565892238
2004-01-21,83.6208532248455
2004-01-22,83.56389079076864
2004-01-23,83.50692835669177
2004-01-24,83.44996592261491
2004-01-25,83.39300348853803
2004-01-26,83.33604105446116
2004-01-27,83.2790786203843
2004-01-28,83.22211618630743
2004-01-29,83.16515375223055
2004-01-30,83.10819131815367
2004-01-31,83.0512288840768
2004-02-01,82.99426644999994
2004-02-02,83.17693908341887
2004-02-03,83.35961171683779
2004-02-04,83.54228435025672
2004-02-05,83.72495698367565
2004-02-06,83.90762961709459
2004-02-07,84.09030225051352
2004-02-08,84.27297488393245
2004-02-09,84.45564751735138
2004-02-10,84.6383201507703
2004-02-11,84.82099278418923
2004-02-12,85.00366541760816
2004-02-13,85.18633805102708
2004-02-14,85.36901068444601
2004-02-15,85.55168331786494
2004-02-16,85.73435595128386
2004-02-17,85.9170285847028
2004-02-18,86.09970121812174
2004-02-19,86.28237385154065
2004-02-20,86.46504648495959
2004-02-21,86.64771911837852
2004-02-22,86.83039175179744
2004-02-23,87.01306438521637
2004-02-24,87.1957370186353
2004-02-25,87.37840965205423
2004-02-26,87.56108228547315
2004-02-27,87.7437549188921
2004-02-28,87.92642755231103
2004-02-29,88.10910018572994
2004-03-01,88.29177281914887
2004-03-02,88.20632916803358
2004-03-03,88.12088551691826
2004-03-04,88.03544186580295
2004-03-05,87.94999821468765
2004-03-06,87.86455456357234
2004-03-07,87.77911091245704
2004-03-08,87.69366726134174
2004-03-09,87.60822361022642
2004-03-10,87.52277995911112
2004-03-11,87.43733630799582
2004-03-12,87.35189265688051
2004-03-13,87.26644900576521
2004-03-14,87.1810053546499
2004-03-15,87.0955617035346
2004-03-16,87.01011805241929
2004-03-17,86.92467440130399
2004-03-18,86.83923075018869
2004-03-19,86.75378709907338
2004-03-20,86.66834344795807
2004-03-21,86.58289979684277
2004-03-22,86.49745614572745
2004-03-23,86.41201249461216
2004-03-24,86.32656884349686
2004-03-25,86.24112519238155
2004-03-26,86.15568154126623
2004-03-27,86.07023789015093
2004-03-28,85.98479423903564
2004-03-29,85.89935058792032
2004-03-30,85.81390693680501
2004-03-31,85.72846328568971
2004-04-01,85.6430196345744
2004-04-02,85.49586667987582
2004-04-03,85.34871372517725
2004-04-04,85.20156077047866
2004-04-05,85.05440781578008
2004-04-06,84.9072548610815
2004-04-07,84.76010190638291
2004-04-08,84.61294895168433
2004-04-09,84.46579599698576
2004-04-10,84.31864304228718
2004-04-11,84.1714900875886
2004-04-12,84.02433713289001
2004-04-13,83.87718417819143
2004-04-14,83.73003122349284
2004-04-15,83.58287826879427
2004-04-16,83.43572531409569
2004-04-17,83.2885723593971
2004-04-18,83.14141940469852
2004-04-19,82.99426644999994
2004-04-20,82.84711349530136
2004-04-21,82.69996054060279
2004-04-22,82.55280758590419
2004-04-23,82.4056546312056
2004-04-24,82.25850167650704
2004-04-25,82.11134872180845
2004-04-26,81.96419576710987
2004-04-27,81.81704281241129
2004-04-28,81.6698898577127
2004-04-29,81.52273690301412
2004-04-30,81.37558394831555
2004-05-01,81.22843099361697
2004-05-02,81.17146855954009
2004-05-03,81.11450612546322
2004-05-04,81.05754369138636
2004-05-05,81.00058125730948
2004-05-06,80.94361882323261
2004-05-07,80.88665638915573
2004-05-08,80.82969395507887
2004-05-09,80.772731521002
2004-05-10,80.71576908692514
2004-05-11,80.65880665284827
2004-05-12,80.60184421877139
2004-05-13,80.54488178469451
2004-05-14,80.48791935061764
2004-05-15,80.43095691654078
2004-05-16,80.37399448246391
2004-05-17,80.31703204838703
2004-05-18,80.26006961431017
2004-05-19,80.2031071802333
2004-05-20,80.14614474615644
2004-05-21,80.08918231207956
2004-05-22,80.03221987800268
2004-05-23,79.97525744392581
2004-05-24,79.91829500984895
2004-05-25,79.86133257577208
2004-05-26,79.80437014169522
2004-05-27,79.74740770761834
2004-05-28,79.69044527354147
2004-05-29,79.63348283946459
2004-05-30,79.57652040538773
2004-05-31,79.51955797131086
2004-06-01,79.46259553723398
2004-06-02,79.37430376441485
2004-06-03,79.28601199159569
2004-06-04,79.19772021877654
2004-06-05,79.10942844595739
2004-06-06,79.02113667313824
2004-06-07,78.9328449003191
2004-06-08,78.84455312749994
2004-06-09,78.7562613546808
2004-06-10,78.66796958186164
2004-06-11,78.5796778090425
2004-06-12,78.49138603622335
2004-06-13,78.4030942634042
2004-06-14,78.31480249058505
2004-06-15,78.22651071776589
2004-06-16,78.13821894494676
2004-06-17,78.04992717212761
2004-06-18,77.96163539930845
2004-06-19,77.8733436264893
2004-06-20,77.78505185367015
2004-06-21,77.696760080851
2004-06-22,77.60846830803186
2004-06-23,77.52017653521271
2004-06-24,77.43188476239357
2004-06-25,77.3435929895744
2004-06-26,77.25530121675526
2004-06-27,77.16700944393612
2004-06-28,77.07871767111696
2004-06-29,76.99042589829781
2004-06-30,76.90213412547867
2004-07-01,76.81384235265952
2004-07-02,76.72839870154422
2004-07-03,76.64295505042891
2004-07-04,76.5575113993136
