date,credit cards 
2004-01-01,91.01968021647383
2004-01-02,90.71698756527172
2004-01-03,90.41429491406963
2004-01-04,90.1116022628675
2004-01-05,89.8089096116654
2004-01-06,89.50621696046329
2004-01-07,89.20352430926118
2004-01-08,88.90083165805908
2004-01-09,88.59813900685697
2004-01-10,88.29544635565486
2004-01-11,87.99275370445277
2004-01-12,87.69006105325064
2004-01-13,87.38736840204854
2004-01-14,87.08467575084644
2004-01-15,86.78198309964432
2004-01-16,86.47929044844221
2004-01-17,86.1765977972401
2004-01-18,85.873905146038
2004-01-19,85.57121249483589
2004-01-20,85.26851984363378
2004-01-21,84.96582719243168
2004-01-22,84.66313454122957
2004-01-23,84.36044189002746
2004-01-24,84.05774923882535
2004-01-25,83.75505658762326
2004-01-26,83.45236393642114
2004-01-27,83.14967128521903
2004-01-28,82.84697863401692
2004-01-29,82.54428598281481
2004-01-30,82.2415933316127
2004-01-31,81.9389006804106
2004-02-01,81.63620802920849
2004-02-02,81.34499682339681
2004-02-03,81.05378561758512
2004-02-04,80.76257441177344
2004-02-05,80.47136320596177
2004-02-06,80.18015200015007
2004-02-07,79.8889407943384
2004-02-08,79.59772958852672
2004-02-09,79.30651838271503
2004-02-10,79.01530717690335
2004-02-11,78.72409597109166
2004-02-12,78.43288476527998
2004-02-13,78.1416735594683
2004-02-14,77.85046235365661
2004-02-15,77.55925114784493
2004-02-16,77.26803994203324
2004-02-17,76.97682873622155
2004-02-18,76.68561753040987
2004-02-19,76.3944063245982
2004-02-20,76.1031951187865
2004-02-21,75.81198391297482
2004-02-22,75.52077270716315
2004-02-23,75.22956150135145
2004-02-24,74.93835029553978
2004-02-25,74.6471390897281
2004-02-26,74.35592788391641
2004-02-27,74.06471667810473
2004-02-28,73.77350547229305
2004-02-29,73.48229426648136
2004-03-01,73.19108306066968
2004-03-02,73.46350644675158
2004-03-03,73.73592983283348
2004-03-04,74.00835321891537
2004-03-05,74.28077660499727
2004-03-06,74.55319999107917
2004-03-07,74.82562337716105
2004-03-08,75.09804676324296
2004-03-09,75.37047014932486
2004-03-10,75.64289353540676
2004-03-11,75.91531692148865
2004-03-12,76.18774030757055
2004-03-13,76.46016369365245
2004-03-14,76.73258707973434
2004-03-15,77.00501046581624
2004-03-16,77.27743385189814
2004-03-17,77.54985723798004
2004-03-18,77.82228062406193
2004-03-19,78.09470401014383
2004-03-20,78.36712739622573
2004-03-21,78.63955078230762
2004-03-22,78.91197416838952
2004-03-23,79.18439755447142
2004-03-24,79.45682094055331
2004-03-25,79.72924432663521
2004-03-26,80.00166771271711
2004-03-27,80.274091098799
2004-03-28,80.5465144848809
2004-03-29,80.8189378709628
2004-03-30,81.0913612570447
2004-03-31,81.36378464312659
2004-04-01,81.63620802920849
2004-04-02,81.57365154796005
2004-04-03,81.51109506671162
2004-04-04,81.44853858546318
2004-04-05,81.38598210421475
2004-04-06,81.32342562296631
2004-04-07,81.26086914171788
2004-04-08,81.19831266046944
2004-04-09,81.135756179221
2004-04-10,81.07319969797257
2004-04-11,81.01064321672413
2004-04-12,80.9480867354757
2004-04-13,80.88553025422726
2004-04-14,80.82297377297883
2004-04-15,80.76041729173039
2004-04-16,80.69786081048196
2004-04-17,80.63530432923352
2004-04-18,80.57274784798508
2004-04-19,80.51019136673665
2004-04-20,80.44763488548821
2004-04-21,80.38507840423978
2004-04-22,80.32252192299134
2004-04-23,80.2599654417429
2004-04-24,80.19740896049447
2004-04-25,80.13485247924604
2004-04-26,80.0722959979976
2004-04-27,80.00973951674916
2004-04-28,79.94718303550073
2004-04-29,79.88462655425229
2004-04-30,79.82207007300386
2004-05-01,79.75951359175542
2004-05-02,79.91085991735648
2004-05-03,80.06220624295753
2004-05-04,80.21355256855858
2004-05-05,80.36489889415964
2004-05-06,80.51624521976069
2004-05-07,80.66759154536174
2004-05-08,80.8189378709628
2004-05-09,80.97028419656385
2004-05-10,81.1216305221649
2004-05-11,81.27297684776596
2004-05-12,81.42432317336701
2004-05-13,81.57566949896807
2004-05-14,81.72701582456912
2004-05-15,81.87836215017018
2004-05-16,82.02970847577123
2004-05-17,82.18105480137228
2004-05-18,82.33240112697334
2004-05-19,82.48374745257439
2004-05-20,82.63509377817545
2004-05-21,82.7864401037765
2004-05-22,82.93778642937755
2004-05-23,83.0891327549786
2004-05-24,83.24047908057966
2004-05-25,83.39182540618071
2004-05-26,83.54317173178177
2004-05-27,83.69451805738282
2004-05-28,83.84586438298388
2004-05-29,83.99721070858493
2004-05-30,84.14855703418598
2004-05-31,84.29990335978704
2004-06-01,84.45124968538809
2004-06-02,84.6389191291334
2004-06-03,84.8265885728787
2004-06-04,85.01425801662401
2004-06-05,85.20192746036932
2004-06-06,85.38959690411463
2004-06-07,85.57726634785993
2004-06-08,85.76493579160525
2004-06-09,85.95260523535055
2004-06-10,86.14027467909585
2004-06-11,86.32794412284116
2004-06-12,86.51561356658647
2004-06-13,86.70328301033179
2004-06-14,86.89095245407708
2004-06-15,87.07862189782239
2004-06-16,87.2662913415677
2004-06-17,87.453960785313
2004-06-18,87.64163022905832
2004-06-19,87.82929967280361
2004-06-20,88.01696911654892
2004-06-21,88.20463856029423
2004-06-22,88.39230800403953
2004-06-23,88.57997744778486
2004-06-24,88.76764689153015
2004-06-25,88.95531633527546
2004-06-26,89.14298577902076
2004-06-27,89.33065522276607
2004-06-28,89.51832466651139
2004-06-29,89.70599411025668
2004-06-30,89.89366355400199
2004-07-01,90.0813329977473
2004-07-02,90.17214079310793
2004-07-03,90.26294858846856
2004-07-04,90.35375638382921
