date,jobs 
2004-01-01,94.27432452171888
2004-01-02,93.9165471990558
2004-01-03,93.55876987639274
2004-01-04,93.20099255372966
2004-01-05,92.84321523106661
2004-01-06,92.48543790840353
2004-01-07,92.12766058574047
2004-01-08,91.76988326307739
2004-01-09,91.41210594041432
2004-01-10,91.05432861775125
2004-01-11,90.69655129508818
2004-01-12,90.33877397242512
2004-01-13,89.98099664976205
2004-01-14,89.62321932709897
2004-01-15,89.26544200443591
2004-01-16,88.90766468177283
2004-01-17,88.54988735910977
2004-01-18,88.19211003644669
2004-01-19,87.83433271378362
2004-01-20,87.47655539112056
2004-01-21,87.11877806845749
2004-01-22,86.76100074579442
2004-01-23,86.40322342313135
2004-01-24,86.04544610046828
2004-01-25,85.6876687778052
2004-01-26,85.32989145514213
2004-01-27,84.97211413247906
2004-01-28,84.614336809816
2004-01-29,84.25655948715293
2004-01-30,83.89878216448986
2004-01-31,83.54100484182679
2004-02-01,83.18322751916372
2004-02-02,83.23103397176094
2004-02-03,83.27884042435817
2004-02-04,83.32664687695538
2004-02-05,83.37445332955261
2004-02-06,83.42225978214982
2004-02-07,83.47006623474704
2004-02-08,83.51787268734427
2004-02-09,83.56567913994148
2004-02-10,83.61348559253871
2004-02-11,83.66129204513592
2004-02-12,83.70909849773315
2004-02-13,83.75690495033037
2004-02-14,83.8047114029276
2004-02-15,83.85251785552481
2004-02-16,83.90032430812202
2004-02-17,83.94813076071925
2004-02-18,83.99593721331647
2004-02-19,84.0437436659137
2004-02-20,84.09155011851091
2004-02-21,84.13935657110814
2004-02-22,84.18716302370535
2004-02-23,84.23496947630258
2004-02-24,84.2827759288998
2004-02-25,84.33058238149702
2004-02-26,84.37838883409422
2004-02-27,84.42619528669145
2004-02-28,84.47400173928867
2004-02-29,84.5218081918859
2004-03-01,84.56961464448311
2004-03-02,84.65905897514888
2004-03-03,84.74850330581465
2004-03-04,84.83794763648042
2004-03-05,84.92739196714618
2004-03-06,85.01683629781195
2004-03-07,85.10628062847772
2004-03-08,85.19572495914349
2004-03-09,85.28516928980926
2004-03-10,85.37461362047502
2004-03-11,85.46405795114079
2004-03-12,85.55350228180656
2004-03-13,85.64294661247233
2004-03-14,85.73239094313809
2004-03-15,85.82183527380387
2004-03-16,85.91127960446963
2004-03-17,86.0007239351354
2004-03-18,86.09016826580115
2004-03-19,86.17961259646694
2004-03-20,86.2690569271327
2004-03-21,86.35850125779847
2004-03-22,86.44794558846422
2004-03-23,86.53738991913
2004-03-24,86.62683424979576
2004-03-25,86.71627858046153
2004-03-26,86.80572291112729
2004-03-27,86.89516724179308
2004-03-28,86.98461157245883
2004-03-29,87.0740559031246
2004-03-30,87.16350023379037
2004-03-31,87.25294456445614
2004-04-01,87.3423888951219
2004-04-02,87.06511147005803
2004-04-03,86.78783404499416
2004-04-04,86.51055661993027
2004-04-05,86.2332791948664
2004-04-06,85.95600176980251
2004-04-07,85.67872434473863
2004-04-08,85.40144691967475
2004-04-09,85.12416949461087
2004-04-10,84.846892069547
2004-04-11,84.56961464448311
2004-04-12,84.29233721941924
2004-04-13,84.01505979435537
2004-04-14,83.73778236929148
2004-04-15,83.46050494422761
2004-04-16,83.18322751916372
2004-04-17,82.90595009409984
2004-04-18,82.62867266903596
2004-04-19,82.35139524397208
2004-04-20,82.0741178189082
2004-04-21,81.79684039384432
2004-04-22,81.51956296878045
2004-04-23,81.24228554371656
2004-04-24,80.96500811865269
2004-04-25,80.68773069358882
2004-04-26,80.41045326852493
2004-04-27,80.13317584346105
2004-04-28,79.85589841839717
2004-04-29,79.57862099333329
2004-04-30,79.30134356826942
2004-05-01,79.02406614320553
2004-05-02,79.29239913520284
2004-05-03,79.56073212720014
2004-05-04,79.82906511919744
2004-05-05,80.09739811119475
2004-05-06,80.36573110319205
2004-05-07,80.63406409518934
2004-05-08,80.90239708718664
2004-05-09,81.17073007918395
2004-05-10,81.43906307118125
2004-05-11,81.70739606317856
2004-05-12,81.97572905517586
2004-05-13,82.24406204717316
2004-05-14,82.51239503917047
2004-05-15,82.78072803116777
2004-05-16,83.04906102316507
2004-05-17,83.31739401516236
2004-05-18,83.58572700715968
2004-05-19,83.85405999915697
2004-05-20,84.12239299115429
2004-05-21,84.39072598315158
2004-05-22,84.65905897514888
2004-05-23,84.92739196714618
2004-05-24,85.19572495914349
2004-05-25,85.46405795114079
2004-05-26,85.73239094313809
2004-05-27,86.0007239351354
2004-05-28,86.2690569271327
2004-05-29,86.53738991913
2004-05-30,86.80572291112729
2004-05-31,87.0740559031246
2004-06-01,87.3423888951219
2004-06-02,87.43481470347653
2004-06-03,87.52724051183115
2004-06-04,87.61966632018579
2004-06-05,87.7120921285404
2004-06-06,87.80451793689504
2004-06-07,87.89694374524966
2004-06-08,87.98936955360429
2004-06-09,88.08179536195891
2004-06-10,88.17422117031354
2004-06-11,88.26664697866816
2004-06-12,88.3590727870228
2004-06-13,88.45149859537742
2004-06-14,88.54392440373205
2004-06-15,88.63635021208667
2004-06-16,88.7287760204413
2004-06-17,88.82120182879592
2004-06-18,88.91362763715057
2004-06-19,89.00605344550519
2004-06-20,89.09847925385981
2004-06-21,89.19090506221443
2004-06-22,89.28333087056907
2004-06-23,89.3757566789237
2004-06-24,89.46818248727831
2004-06-25,89.56060829563293
2004-06-26,89.65303410398757
2004-06-27,89.7454599123422
2004-06-28,89.83788572069682
2004-06-29,89.93031152905144
2004-06-30,90.02273733740607
2004-07-01,90.1151631457607
2004-07-02,89.98099664976205
2004-07-03,89.8468301537634
2004-07-04,89.71266365776474
