date,investing
2004-01-01,79.34566953688689
2004-01-02,79.27649284156266
2004-01-03,79.20731614623844
2004-01-04,79.13813945091421
2004-01-05,79.06896275558998
2004-01-06,78.99978606026575
2004-01-07,78.93060936494153
2004-01-08,78.8614326696173
2004-01-09,78.79225597429308
2004-01-10,78.72307927896885
2004-01-11,78.65390258364464
2004-01-12,78.5847258883204
2004-01-13,78.51554919299618
2004-01-14,78.44637249767194
2004-01-15,78.37719580234773
2004-01-16,78.3080191070235
2004-01-17,78.23884241169928
2004-01-18,78.16966571637505
2004-01-19,78.10048902105083
2004-01-20,78.0313123257266
2004-01-21,77.96213563040237
2004-01-22,77.89295893507814
2004-01-23,77.82378223975391
2004-01-24,77.7546055444297
2004-01-25,77.68542884910546
2004-01-26,77.61625215378125
2004-01-27,77.54707545845702
2004-01-28,77.4778987631328
2004-01-29,77.40872206780855
2004-01-30,77.33954537248434
2004-01-31,77.2703686771601
2004-02-01,77.20119198183589
2004-02-02,76.90540197424264
2004-02-03,76.60961196664941
2004-02-04,76.31382195905616
2004-02-05,76.01803195146293
2004-02-06,75.72224194386968
2004-02-07,75.42645193627644
2004-02-08,75.13066192868321
2004-02-09,74.83487192108996
2004-02-10,74.53908191349673
2004-02-11,74.24329190590348
2004-02-12,73.94750189831025
2004-02-13,73.651711890717
2004-02-14,73.35592188312376
2004-02-15,73.06013187553052
2004-02-16,72.76434186793728
2004-02-17,72.46855186034404
2004-02-18,72.1727618527508
2004-02-19,71.87697184515754
2004-02-20,71.58118183756432
2004-02-21,71.28539182997106
2004-02-22,70.98960182237784
2004-02-23,70.69381181478458
2004-02-24,70.39802180719136
2004-02-25,70.1022317995981
2004-02-26,69.80644179200486
2004-02-27,69.51065178441162
2004-02-28,69.21486177681838
2004-02-29,68.91907176922516
2004-03-01,68.6232817616319
2004-03-02,68.76163515228035
2004-03-03,68.89998854292881
2004-03-04,69.03834193357726
2004-03-05,69.1766953242257
2004-03-06,69.31504871487415
2004-03-07,69.45340210552261
2004-03-08,69.59175549617106
2004-03-09,69.73010888681951
2004-03-10,69.86846227746796
2004-03-11,70.00681566811642
2004-03-12,70.14516905876486
2004-03-13,70.28352244941331
2004-03-14,70.42187584006176
2004-03-15,70.56022923071022
2004-03-16,70.69858262135867
2004-03-17,70.83693601200711
2004-03-18,70.97528940265556
2004-03-19,71.11364279330404
2004-03-20,71.25199618395249
2004-03-21,71.39034957460093
2004-03-22,71.52870296524938
2004-03-23,71.66705635589784
2004-03-24,71.80540974654629
2004-03-25,71.94376313719474
2004-03-26,72.08211652784318
2004-03-27,72.22046991849164
2004-03-28,72.35882330914009
2004-03-29,72.49717669978854
2004-03-30,72.63553009043699
2004-03-31,72.77388348108545
2004-04-01,72.9122368717339
2004-04-02,72.62630653106044
2004-04-03,72.34037619038696
2004-04-04,72.0544458497135
2004-04-05,71.76851550904003
2004-04-06,71.48258516836657
2004-04-07,71.19665482769311
2004-04-08,70.91072448701964
2004-04-09,70.62479414634616
2004-04-10,70.33886380567269
2004-04-11,70.05293346499923
2004-04-12,69.76700312432577
2004-04-13,69.4810727836523
2004-04-14,69.19514244297883
2004-04-15,68.90921210230536
2004-04-16,68.6232817616319
2004-04-17,68.33735142095844
2004-04-18,68.05142108028497
2004-04-19,67.76549073961151
2004-04-20,67.47956039893803
2004-04-21,67.19363005826457
2004-04-22,66.9076997175911
2004-04-23,66.62176937691764
2004-04-24,66.33583903624417
2004-04-25,66.0499086955707
2004-04-26,65.76397835489725
2004-04-27,65.47804801422377
2004-04-28,65.1921176735503
2004-04-29,64.90618733287684
2004-04-30,64.62025699220337
2004-05-01,64.3343266515299
2004-05-02,64.26514995620569
2004-05-03,64.19597326088146
2004-05-04,64.12679656555723
2004-05-05,64.05761987023301
2004-05-06,63.98844317490878
2004-05-07,63.91926647958455
2004-05-08,63.85008978426033
2004-05-09,63.7809130889361
2004-05-10,63.71173639361188
2004-05-11,63.64255969828765
2004-05-12,63.573383002963425
2004-05-13,63.5042063076392
2004-05-14,63.43502961231498
2004-05-15,63.36585291699075
2004-05-16,63.29667622166652
2004-05-17,63.2274995263423
2004-05-18,63.158322831018076
2004-05-19,63.089146135693845
2004-05-20,63.01996944036962
2004-05-21,62.9507927450454
2004-05-22,62.881616049721174
2004-05-23,62.812439354396936
2004-05-24,62.74326265907271
2004-05-25,62.67408596374849
2004-05-26,62.604909268424265
2004-05-27,62.535732573100034
2004-05-28,62.46655587777581
2004-05-29,62.39737918245159
2004-05-30,62.32820248712736
2004-05-31,62.25902579180313
2004-06-01,62.18984909647891
2004-06-02,62.26133168164728
2004-06-03,62.332814266815646
2004-06-04,62.404296851984014
2004-06-05,62.475779437152376
2004-06-06,62.547262022320744
2004-06-07,62.618744607489106
2004-06-08,62.69022719265748
2004-06-09,62.76170977782584
2004-06-10,62.83319236299421
2004-06-11,62.90467494816257
2004-06-12,62.97615753333094
2004-06-13,63.04764011849931
2004-06-14,63.11912270366768
2004-06-15,63.19060528883604
2004-06-16,63.26208787400441
2004-06-17,63.333570459172776
2004-06-18,63.405053044341145
2004-06-19,63.47653562950951
2004-06-20,63.548018214677874
2004-06-21,63.61950079984624
2004-06-22,63.690983385014604
2004-06-23,63.76246597018298
2004-06-24,63.83394855535134
2004-06-25,63.90543114051971
2004-06-26,63.97691372568807
2004-06-27,64.04839631085645
2004-06-28,64.1198788960248
2004-06-29,64.19136148119317
2004-06-30,64.26284406636154
2004-07-01,64.3343266515299
2004-07-02,64.3343266515299
2004-07-03,64.3343266515299
2004-07-04,64.3343266515299
