date,business news
2004-01-01,80.94896523669632
2004-01-02,80.9753415694551
2004-01-03,81.00171790221388
2004-01-04,81.02809423497266
2004-01-05,81.05447056773144
2004-01-06,81.08084690049022
2004-01-07,81.107223233249
2004-01-08,81.13359956600777
2004-01-09,81.15997589876656
2004-01-10,81.18635223152535
2004-01-11,81.21272856428412
2004-01-12,81.2391048970429
2004-01-13,81.26548122980168
2004-01-14,81.29185756256047
2004-01-15,81.31823389531924
2004-01-16,81.34461022807803
2004-01-17,81.3709865608368
2004-01-18,81.39736289359558
2004-01-19,81.42373922635436
2004-01-20,81.45011555911314
2004-01-21,81.47649189187192
2004-01-22,81.5028682246307
2004-01-23,81.52924455738948
2004-01-24,81.55562089014826
2004-01-25,81.58199722290705
2004-01-26,81.60837355566584
2004-01-27,81.63474988842461
2004-01-28,81.66112622118338
2004-01-29,81.68750255394217
2004-01-30,81.71387888670094
2004-01-31,81.74025521945973
2004-02-01,81.7666315522185
2004-02-02,81.54106843069513
2004-02-03,81.31550530917178
2004-02-04,81.08994218764842
2004-02-05,80.86437906612507
2004-02-06,80.6388159446017
2004-02-07,80.41325282307834
2004-02-08,80.18768970155497
2004-02-09,79.96212658003161
2004-02-10,79.73656345850826
2004-02-11,79.51100033698489
2004-02-12,79.28543721546154
2004-02-13,79.05987409393816
2004-02-14,78.8343109724148
2004-02-15,78.60874785089145
2004-02-16,78.38318472936808
2004-02-17,78.15762160784473
2004-02-18,77.93205848632137
2004-02-19,77.70649536479799
2004-02-20,77.48093224327464
2004-02-21,77.25536912175127
2004-02-22,77.02980600022792
2004-02-23,76.80424287870456
2004-02-24,76.57867975718119
2004-02-25,76.35311663565783
2004-02-26,76.12755351413446
2004-02-27,75.90199039261111
2004-02-28,75.67642727108775
2004-02-29,75.4508641495644
2004-03-01,75.22530102804103
2004-03-02,75.30443002631736
2004-03-03,75.3835590245937
2004-03-04,75.46268802287005
2004-03-05,75.54181702114639
2004-03-06,75.62094601942273
2004-03-07,75.70007501769906
2004-03-08,75.77920401597541
2004-03-09,75.85833301425176
2004-03-10,75.93746201252809
2004-03-11,76.01659101080443
2004-03-12,76.09572000908076
2004-03-13,76.17484900735711
2004-03-14,76.25397800563346
2004-03-15,76.33310700390979
2004-03-16,76.41223600218613
2004-03-17,76.49136500046247
2004-03-18,76.57049399873881
2004-03-19,76.64962299701514
2004-03-20,76.7287519952915
2004-03-21,76.80788099356784
2004-03-22,76.88700999184418
2004-03-23,76.96613899012051
2004-03-24,77.04526798839684
2004-03-25,77.1243969866732
2004-03-26,77.20352598494954
2004-03-27,77.28265498322588
2004-03-28,77.36178398150221
2004-03-29,77.44091297977856
2004-03-30,77.5200419780549
2004-03-31,77.59917097633124
2004-04-01,77.67829997460758
2004-04-02,77.21495572914502
2004-04-03,76.75161148368242
2004-04-04,76.28826723821986
2004-04-05,75.8249229927573
2004-04-06,75.36157874729473
2004-04-07,74.89823450183215
2004-04-08,74.43489025636958
2004-04-09,73.971546010907
2004-04-10,73.50820176544444
2004-04-11,73.04485751998186
2004-04-12,72.5815132745193
2004-04-13,72.11816902905673
2004-04-14,71.65482478359415
2004-04-15,71.19148053813157
2004-04-16,70.728136292669
2004-04-17,70.26479204720644
2004-04-18,69.80144780174386
2004-04-19,69.3381035562813
2004-04-20,68.87475931081872
2004-04-21,68.41141506535615
2004-04-22,67.94807081989357
2004-04-23,67.48472657443101
2004-04-24,67.02138232896844
2004-04-25,66.55803808350586
2004-04-26,66.09469383804328
2004-04-27,65.63134959258072
2004-04-28,65.16800534711815
2004-04-29,64.70466110165559
2004-04-30,64.24131685619301
2004-05-01,63.77797261073044
2004-05-02,63.88347794176555
2004-05-03,63.98898327280068
2004-05-04,64.0944886038358
2004-05-05,64.19999393487092
2004-05-06,64.30549926590604
2004-05-07,64.41100459694117
2004-05-08,64.51650992797629
2004-05-09,64.6220152590114
2004-05-10,64.72752059004651
2004-05-11,64.83302592108164
2004-05-12,64.93853125211676
2004-05-13,65.04403658315188
2004-05-14,65.149541914187
2004-05-15,65.25504724522213
2004-05-16,65.36055257625725
2004-05-17,65.46605790729237
2004-05-18,65.57156323832749
2004-05-19,65.6770685693626
2004-05-20,65.78257390039772
2004-05-21,65.88807923143284
2004-05-22,65.99358456246796
2004-05-23,66.09908989350309
2004-05-24,66.20459522453821
2004-05-25,66.31010055557333
2004-05-26,66.41560588660845
2004-05-27,66.52111121764358
2004-05-28,66.6266165486787
2004-05-29,66.73212187971382
2004-05-30,66.83762721074893
2004-05-31,66.94313254178405
2004-06-01,67.04863787281917
2004-06-02,66.93961569741622
2004-06-03,66.83059352201326
2004-06-04,66.72157134661029
2004-06-05,66.61254917120735
2004-06-06,66.50352699580438
2004-06-07,66.39450482040142
2004-06-08,66.28548264499847
2004-06-09,66.17646046959551
2004-06-10,66.06743829419256
2004-06-11,65.9584161187896
2004-06-12,65.84939394338663
2004-06-13,65.74037176798369
2004-06-14,65.63134959258072
2004-06-15,65.52232741717776
2004-06-16,65.41330524177481
2004-06-17,65.30428306637184
2004-06-18,65.19526089096888
2004-06-19,65.08623871556593
2004-06-20,64.97721654016297
2004-06-21,64.86819436476001
2004-06-22,64.75917218935706
2004-06-23,64.65015001395409
2004-06-24,64.54112783855115
2004-06-25,64.43210566314818
2004-06-26,64.32308348774522
2004-06-27,64.21406131234227
2004-06-28,64.10503913693931
2004-06-29,63.99601696153635
2004-06-30,63.8869947861334
2004-07-01,63.77797261073044
2004-07-02,63.93623060728311
2004-07-03,64.0944886038358
2004-07-04,64.25274660038848
