date,hardware
2004-01-01,91.87715589653466
2004-01-02,91.61041576651246
2004-01-03,91.34367563649026
2004-01-04,91.07693550646806
2004-01-05,90.81019537644588
2004-01-06,90.54345524642366
2004-01-07,90.27671511640148
2004-01-08,90.00997498637928
2004-01-09,89.74323485635708
2004-01-10,89.47649472633488
2004-01-11,89.20975459631268
2004-01-12,88.94301446629049
2004-01-13,88.67627433626829
2004-01-14,88.40953420624608
2004-01-15,88.1427940762239
2004-01-16,87.8760539462017
2004-01-17,87.60931381617951
2004-01-18,87.3425736861573
2004-01-19,87.07583355613511
2004-01-20,86.80909342611291
2004-01-21,86.54235329609071
2004-01-22,86.27561316606851
2004-01-23,86.00887303604631
2004-01-24,85.74213290602412
2004-01-25,85.47539277600193
2004-01-26,85.20865264597971
2004-01-27,84.94191251595753
2004-01-28,84.67517238593533
2004-01-29,84.40843225591313
2004-01-30,84.14169212589093
2004-01-31,83.87495199586874
2004-02-01,83.60821186584654
2004-02-02,83.63989364374189
2004-02-03,83.67157542163726
2004-02-04,83.7032571995326
2004-02-05,83.73493897742797
2004-02-06,83.76662075532332
2004-02-07,83.79830253321869
2004-02-08,83.82998431111403
2004-02-09,83.8616660890094
2004-02-10,83.89334786690475
2004-02-11,83.9250296448001
2004-02-12,83.95671142269546
2004-02-13,83.98839320059082
2004-02-14,84.02007497848618
2004-02-15,84.05175675638152
2004-02-16,84.0834385342769
2004-02-17,84.11512031217224
2004-02-18,84.14680209006761
2004-02-19,84.17848386796295
2004-02-20,84.21016564585832
2004-02-21,84.24184742375367
2004-02-22,84.27352920164903
2004-02-23,84.30521097954438
2004-02-24,84.33689275743974
2004-02-25,84.3685745353351
2004-02-26,84.40025631323046
2004-02-27,84.43193809112582
2004-02-28,84.46361986902117
2004-02-29,84.49530164691653
2004-03-01,84.52698342481189
2004-03-02,84.4973456325872
2004-03-03,84.46770784036251
2004-03-04,84.43807004813782
2004-03-05,84.40843225591313
2004-03-06,84.37879446368845
2004-03-07,84.34915667146376
2004-03-08,84.31951887923907
2004-03-09,84.28988108701436
2004-03-10,84.26024329478967
2004-03-11,84.230605502565
2004-03-12,84.20096771034031
2004-03-13,84.17132991811562
2004-03-14,84.14169212589093
2004-03-15,84.11205433366624
2004-03-16,84.08241654144156
2004-03-17,84.05277874921687
2004-03-18,84.02314095699218
2004-03-19,83.99350316476749
2004-03-20,83.9638653725428
2004-03-21,83.93422758031812
2004-03-22,83.90458978809343
2004-03-23,83.87495199586874
2004-03-24,83.84531420364405
2004-03-25,83.81567641141935
2004-03-26,83.78603861919467
2004-03-27,83.75640082696998
2004-03-28,83.72676303474529
2004-03-29,83.6971252425206
2004-03-30,83.66748745029591
2004-03-31,83.63784965807123
2004-04-01,83.60821186584654
2004-04-02,83.60821186584654
2004-04-03,83.60821186584654
2004-04-04,83.60821186584654
2004-04-05,83.60821186584654
2004-04-06,83.60821186584654
2004-04-07,83.60821186584654
2004-04-08,83.60821186584654
2004-04-09,83.60821186584654
2004-04-10,83.60821186584654
2004-04-11,83.60821186584654
2004-04-12,83.60821186584654
2004-04-13,83.60821186584654
2004-04-14,83.60821186584654
2004-04-15,83.60821186584654
2004-04-16,83.60821186584654
2004-04-17,83.60821186584654
2004-04-18,83.60821186584654
2004-04-19,83.60821186584654
2004-04-20,83.60821186584654
2004-04-21,83.60821186584654
2004-04-22,83.60821186584654
2004-04-23,83.60821186584654
2004-04-24,83.60821186584654
2004-04-25,83.60821186584654
2004-04-26,83.60821186584654
2004-04-27,83.60821186584654
2004-04-28,83.60821186584654
2004-04-29,83.60821186584654
2004-04-30,83.60821186584654
2004-05-01,83.60821186584654
2004-05-02,83.60821186584654
2004-05-03,83.60821186584654
2004-05-04,83.60821186584654
2004-05-05,83.60821186584654
2004-05-06,83.60821186584654
2004-05-07,83.60821186584654
2004-05-08,83.60821186584654
2004-05-09,83.60821186584654
2004-05-10,83.60821186584654
2004-05-11,83.60821186584654
2004-05-12,83.60821186584654
2004-05-13,83.60821186584654
2004-05-14,83.60821186584654
2004-05-15,83.60821186584654
2004-05-16,83.60821186584654
2004-05-17,83.60821186584654
2004-05-18,83.60821186584654
2004-05-19,83.60821186584654
2004-05-20,83.60821186584654
2004-05-21,83.60821186584654
2004-05-22,83.60821186584654
2004-05-23,83.60821186584654
2004-05-24,83.60821186584654
2004-05-25,83.60821186584654
2004-05-26,83.60821186584654
2004-05-27,83.60821186584654
2004-05-28,83.60821186584654
2004-05-29,83.60821186584654
2004-05-30,83.60821186584654
2004-05-31,83.60821186584654
2004-06-01,83.60821186584654
2004-06-02,83.63883758447871
2004-06-03,83.66946330311089
2004-06-04,83.70008902174307
2004-06-05,83.73071474037526
2004-06-06,83.76134045900743
2004-06-07,83.79196617763961
2004-06-08,83.82259189627179
2004-06-09,83.85321761490397
2004-06-10,83.88384333353613
2004-06-11,83.91446905216831
2004-06-12,83.9450947708005
2004-06-13,83.97572048943267
2004-06-14,84.00634620806485
2004-06-15,84.03697192669703
2004-06-16,84.06759764532922
2004-06-17,84.09822336396138
2004-06-18,84.12884908259356
2004-06-19,84.15947480122574
2004-06-20,84.19010051985794
2004-06-21,84.2207262384901
2004-06-22,84.25135195712228
2004-06-23,84.28197767575446
2004-06-24,84.31260339438664
2004-06-25,84.34322911301881
2004-06-26,84.37385483165099
2004-06-27,84.40448055028317
2004-06-28,84.43510626891535
2004-06-29,84.46573198754753
2004-06-30,84.49635770617971
2004-07-01,84.52698342481189
2004-07-02,84.61589680148595
2004-07-03,84.70481017816002
2004-07-04,84.79372355483409
