date,finance
2004-01-01,78.70265528551847
2004-01-02,78.74360359732155
2004-01-03,78.78455190912463
2004-01-04,78.82550022092771
2004-01-05,78.8664485327308
2004-01-06,78.90739684453388
2004-01-07,78.94834515633696
2004-01-08,78.98929346814003
2004-01-09,79.03024177994311
2004-01-10,79.07119009174619
2004-01-11,79.11213840354927
2004-01-12,79.15308671535234
2004-01-13,79.19403502715544
2004-01-14,79.23498333895851
2004-01-15,79.27593165076159
2004-01-16,79.31687996256467
2004-01-17,79.35782827436775
2004-01-18,79.39877658617083
2004-01-19,79.4397248979739
2004-01-20,79.48067320977698
2004-01-21,79.52162152158007
2004-01-22,79.56256983338315
2004-01-23,79.60351814518623
2004-01-24,79.6444664569893
2004-01-25,79.68541476879238
2004-01-26,79.72636308059546
2004-01-27,79.76731139239854
2004-01-28,79.80825970420162
2004-01-29,79.84920801600471
2004-01-30,79.89015632780779
2004-01-31,79.93110463961087
2004-02-01,79.97205295141394
2004-02-02,79.88450828480046
2004-02-03,79.79696361818698
2004-02-04,79.7094189515735
2004-02-05,79.62187428496001
2004-02-06,79.53432961834653
2004-02-07,79.44678495173305
2004-02-08,79.35924028511957
2004-02-09,79.2716956185061
2004-02-10,79.18415095189262
2004-02-11,79.09660628527914
2004-02-12,79.00906161866565
2004-02-13,78.92151695205217
2004-02-14,78.8339722854387
2004-02-15,78.74642761882522
2004-02-16,78.65888295221174
2004-02-17,78.57133828559826
2004-02-18,78.48379361898478
2004-02-19,78.3962489523713
2004-02-20,78.30870428575781
2004-02-21,78.22115961914433
2004-02-22,78.13361495253085
2004-02-23,78.04607028591738
2004-02-24,77.9585256193039
2004-02-25,77.87098095269042
2004-02-26,77.78343628607693
2004-02-27,77.69589161946345
2004-02-28,77.60834695284998
2004-02-29,77.5208022862365
2004-03-01,77.43325761962302
2004-03-02,77.4742059314261
2004-03-03,77.51515424322918
2004-03-04,77.55610255503225
2004-03-05,77.59705086683535
2004-03-06,77.63799917863842
2004-03-07,77.6789474904415
2004-03-08,77.71989580224458
2004-03-09,77.76084411404766
2004-03-10,77.80179242585073
2004-03-11,77.84274073765381
2004-03-12,77.88368904945689
2004-03-13,77.92463736125997
2004-03-14,77.96558567306305
2004-03-15,78.00653398486614
2004-03-16,78.04748229666922
2004-03-17,78.0884306084723
2004-03-18,78.12937892027537
2004-03-19,78.17032723207845
2004-03-20,78.21127554388153
2004-03-21,78.2522238556846
2004-03-22,78.29317216748768
2004-03-23,78.33412047929076
2004-03-24,78.37506879109384
2004-03-25,78.41601710289692
2004-03-26,78.4569654147
2004-03-27,78.49791372650307
2004-03-28,78.53886203830616
2004-03-29,78.57981035010924
2004-03-30,78.62075866191232
2004-03-31,78.6617069737154
2004-04-01,78.70265528551847
2004-04-02,78.49108900786923
2004-04-03,78.27952273022
2004-04-04,78.06795645257075
2004-04-05,77.85639017492151
2004-04-06,77.64482389727226
2004-04-07,77.43325761962302
2004-04-08,77.22169134197378
2004-04-09,77.01012506432453
2004-04-10,76.79855878667529
2004-04-11,76.58699250902605
2004-04-12,76.3754262313768
2004-04-13,76.16385995372755
2004-04-14,75.95229367607831
2004-04-15,75.74072739842907
2004-04-16,75.52916112077983
2004-04-17,75.31759484313059
2004-04-18,75.10602856548134
2004-04-19,74.8944622878321
2004-04-20,74.68289601018286
2004-04-21,74.4713297325336
2004-04-22,74.25976345488436
2004-04-23,74.04819717723512
2004-04-24,73.83663089958588
2004-04-25,73.62506462193664
2004-04-26,73.4134983442874
2004-04-27,73.20193206663815
2004-04-28,72.99036578898891
2004-04-29,72.77879951133967
2004-04-30,72.56723323369042
2004-05-01,72.35566695604118
2004-05-02,72.35566695604118
2004-05-03,72.35566695604118
2004-05-04,72.35566695604118
2004-05-05,72.35566695604118
2004-05-06,72.35566695604118
2004-05-07,72.35566695604118
2004-05-08,72.35566695604118
2004-05-09,72.35566695604118
2004-05-10,72.35566695604118
2004-05-11,72.35566695604118
2004-05-12,72.35566695604118
2004-05-13,72.35566695604118
2004-05-14,72.35566695604118
2004-05-15,72.35566695604118
2004-05-16,72.35566695604118
2004-05-17,72.35566695604118
2004-05-18,72.35566695604118
2004-05-19,72.35566695604118
2004-05-20,72.35566695604118
2004-05-21,72.35566695604118
2004-05-22,72.35566695604118
2004-05-23,72.35566695604118
2004-05-24,72.35566695604118
2004-05-25,72.35566695604118
2004-05-26,72.35566695604118
2004-05-27,72.35566695604118
2004-05-28,72.35566695604118
2004-05-29,72.35566695604118
2004-05-30,72.35566695604118
2004-05-31,72.35566695604118
2004-06-01,72.35566695604118
2004-06-02,72.52491997816058
2004-06-03,72.69417300027997
2004-06-04,72.86342602239937
2004-06-05,73.03267904451876
2004-06-06,73.20193206663815
2004-06-07,73.37118508875754
2004-06-08,73.54043811087693
2004-06-09,73.70969113299634
2004-06-10,73.87894415511573
2004-06-11,74.04819717723512
2004-06-12,74.21745019935453
2004-06-13,74.38670322147392
2004-06-14,74.55595624359331
2004-06-15,74.7252092657127
2004-06-16,74.8944622878321
2004-06-17,75.06371530995149
2004-06-18,75.23296833207088
2004-06-19,75.40222135419029
2004-06-20,75.57147437630968
2004-06-21,75.74072739842907
2004-06-22,75.90998042054846
2004-06-23,76.07923344266786
2004-06-24,76.24848646478726
2004-06-25,76.41773948690665
2004-06-26,76.58699250902605
2004-06-27,76.75624553114544
2004-06-28,76.92549855326483
2004-06-29,77.09475157538424
2004-06-30,77.26400459750363
2004-07-01,77.43325761962302
2004-07-02,77.35136099601687
2004-07-03,77.2694643724107
2004-07-04,77.18756774880454
