date,durable goods 
2004-01-01,14.880357160950432
2004-01-02,14.95750186973416
2004-01-03,15.03464657851789
2004-01-04,15.11179128730162
2004-01-05,15.18893599608535
2004-01-06,15.26608070486908
2004-01-07,15.343225413652807
2004-01-08,15.420370122436536
2004-01-09,15.497514831220265
2004-01-10,15.574659540003994
2004-01-11,15.651804248787725
2004-01-12,15.728948957571454
2004-01-13,15.806093666355183
2004-01-14,15.883238375138912
2004-01-15,15.96038308392264
2004-01-16,16.03752779270637
2004-01-17,16.1146725014901
2004-01-18,16.19181721027383
2004-01-19,16.268961919057556
2004-01-20,16.346106627841287
2004-01-21,16.423251336625015
2004-01-22,16.500396045408745
2004-01-23,16.577540754192476
2004-01-24,16.654685462976204
2004-01-25,16.731830171759935
2004-01-26,16.808974880543662
2004-01-27,16.88611958932739
2004-01-28,16.96326429811112
2004-01-29,17.040409006894848
2004-01-30,17.11755371567858
2004-01-31,17.194698424462306
2004-02-01,17.271843133246037
2004-02-02,17.25351757023994
2004-02-03,17.23519200723384
2004-02-04,17.216866444227747
2004-02-05,17.19854088122165
2004-02-06,17.180215318215556
2004-02-07,17.161889755209458
2004-02-08,17.143564192203364
2004-02-09,17.125238629197266
2004-02-10,17.10691306619117
2004-02-11,17.08858750318507
2004-02-12,17.070261940178973
2004-02-13,17.051936377172876
2004-02-14,17.03361081416678
2004-02-15,17.015285251160684
2004-02-16,16.99695968815459
2004-02-17,16.978634125148492
2004-02-18,16.960308562142398
2004-02-19,16.9419829991363
2004-02-20,16.923657436130203
2004-02-21,16.905331873124105
2004-02-22,16.887006310118007
2004-02-23,16.868680747111913
2004-02-24,16.850355184105815
2004-02-25,16.832029621099718
2004-02-26,16.813704058093624
2004-02-27,16.795378495087526
2004-02-28,16.777052932081432
2004-02-29,16.758727369075334
2004-03-01,16.740401806069237
2004-03-02,17.057552275513455
2004-03-03,17.374702744957677
2004-03-04,17.691853214401895
2004-03-05,18.009003683846117
2004-03-06,18.326154153290336
2004-03-07,18.643304622734554
2004-03-08,18.960455092178776
2004-03-09,19.277605561622995
2004-03-10,19.59475603106722
2004-03-11,19.91190650051144
2004-03-12,20.229056969955657
2004-03-13,20.54620743939988
2004-03-14,20.863357908844097
2004-03-15,21.180508378288316
2004-03-16,21.497658847732538
2004-03-17,21.814809317176756
2004-03-18,22.13195978662098
2004-03-19,22.449110256065197
2004-03-20,22.766260725509415
2004-03-21,23.083411194953637
2004-03-22,23.400561664397856
2004-03-23,23.717712133842078
2004-03-24,24.034862603286296
2004-03-25,24.352013072730514
2004-03-26,24.66916354217474
2004-03-27,24.98631401161896
2004-03-28,25.30346448106318
2004-03-29,25.6206149505074
2004-03-30,25.937765419951617
2004-03-31,26.25491588939584
2004-04-01,26.572066358840058
2004-04-02,26.572066358840058
2004-04-03,26.572066358840058
2004-04-04,26.572066358840058
2004-04-05,26.572066358840058
2004-04-06,26.572066358840058
2004-04-07,26.572066358840058
2004-04-08,26.572066358840058
2004-04-09,26.572066358840058
2004-04-10,26.572066358840058
2004-04-11,26.572066358840058
2004-04-12,26.572066358840058
2004-04-13,26.572066358840058
2004-04-14,26.572066358840058
2004-04-15,26.572066358840058
2004-04-16,26.572066358840058
2004-04-17,26.572066358840058
2004-04-18,26.572066358840058
2004-04-19,26.572066358840058
2004-04-20,26.572066358840058
2004-04-21,26.572066358840058
2004-04-22,26.572066358840058
2004-04-23,26.572066358840058
2004-04-24,26.572066358840058
2004-04-25,26.572066358840058
2004-04-26,26.572066358840058
2004-04-27,26.572066358840058
2004-04-28,26.572066358840058
2004-04-29,26.572066358840058
2004-04-30,26.572066358840058
2004-05-01,26.572066358840058
2004-05-02,26.366347135416778
2004-05-03,26.1606279119935
2004-05-04,25.95490868857022
2004-05-05,25.749189465146948
2004-05-06,25.543470241723668
2004-05-07,25.33775101830039
2004-05-08,25.13203179487711
2004-05-09,24.926312571453835
2004-05-10,24.720593348030555
2004-05-11,24.51487412460728
2004-05-12,24.309154901184
2004-05-13,24.10343567776072
2004-05-14,23.897716454337445
2004-05-15,23.691997230914165
2004-05-16,23.486278007490892
2004-05-17,23.280558784067612
2004-05-18,23.074839560644335
2004-05-19,22.869120337221055
2004-05-20,22.66340111379778
2004-05-21,22.4576818903745
2004-05-22,22.251962666951226
2004-05-23,22.046243443527946
2004-05-24,21.840524220104665
2004-05-25,21.63480499668139
2004-05-26,21.42908577325811
2004-05-27,21.223366549834832
2004-05-28,21.017647326411556
2004-05-29,20.81192810298828
2004-05-30,20.606208879565
2004-05-31,20.400489656141723
2004-06-01,20.194770432718443
2004-06-02,20.097339522736032
2004-06-03,19.999908612753615
2004-06-04,19.902477702771204
2004-06-05,19.80504679278879
2004-06-06,19.707615882806376
2004-06-07,19.610184972823962
2004-06-08,19.512754062841548
2004-06-09,19.415323152859134
2004-06-10,19.317892242876724
2004-06-11,19.220461332894306
2004-06-12,19.123030422911896
2004-06-13,19.025599512929478
2004-06-14,18.928168602947068
2004-06-15,18.830737692964654
2004-06-16,18.73330678298224
2004-06-17,18.63587587299983
2004-06-18,18.53844496301741
2004-06-19,18.441014053035
2004-06-20,18.343583143052587
2004-06-21,18.246152233070173
2004-06-22,18.14872132308776
2004-06-23,18.051290413105345
2004-06-24,17.95385950312293
2004-06-25,17.85642859314052
2004-06-26,17.758997683158103
2004-06-27,17.661566773175693
2004-06-28,17.564135863193275
2004-06-29,17.466704953210865
2004-06-30,17.369274043228454
2004-07-01,17.271843133246037
2004-07-02,17.203270058771608
2004-07-03,17.134696984297186
2004-07-04,17.066123909822757
