date,mobile & wireless
2004-01-01,2.477874969279361
2004-01-02,2.5105230265756364
2004-01-03,2.5431710838719113
2004-01-04,2.5758191411681866
2004-01-05,2.608467198464461
2004-01-06,2.6411152557607362
2004-01-07,2.6737633130570115
2004-01-08,2.706411370353287
2004-01-09,2.7390594276495617
2004-01-10,2.771707484945837
2004-01-11,2.8043555422421123
2004-01-12,2.837003599538387
2004-01-13,2.869651656834662
2004-01-14,2.9022997141309372
2004-01-15,2.934947771427212
2004-01-16,2.9675958287234874
2004-01-17,3.0002438860197627
2004-01-18,3.0328919433160375
2004-01-19,3.065540000612313
2004-01-20,3.0981880579085876
2004-01-21,3.1308361152048625
2004-01-22,3.163484172501138
2004-01-23,3.196132229797413
2004-01-24,3.228780287093688
2004-01-25,3.261428344389963
2004-01-26,3.2940764016862385
2004-01-27,3.3267244589825133
2004-01-28,3.359372516278788
2004-01-29,3.3920205735750635
2004-01-30,3.4246686308713383
2004-01-31,3.4573166881676136
2004-02-01,3.489964745463889
2004-02-02,3.4430307368179953
2004-02-03,3.3960967281721013
2004-02-04,3.349162719526208
2004-02-05,3.302228710880314
2004-02-06,3.2552947022344205
2004-02-07,3.2083606935885265
2004-02-08,3.1614266849426333
2004-02-09,3.1144926762967393
2004-02-10,3.0675586676508457
2004-02-11,3.020624659004952
2004-02-12,2.9736906503590586
2004-02-13,2.9267566417131645
2004-02-14,2.879822633067271
2004-02-15,2.8328886244213773
2004-02-16,2.7859546157754838
2004-02-17,2.7390206071295897
2004-02-18,2.6920865984836966
2004-02-19,2.6451525898378025
2004-02-20,2.598218581191909
2004-02-21,2.551284572546015
2004-02-22,2.504350563900122
2004-02-23,2.4574165552542278
2004-02-24,2.410482546608334
2004-02-25,2.36354853796244
2004-02-26,2.316614529316547
2004-02-27,2.269680520670653
2004-02-28,2.2227465120247594
2004-02-29,2.175812503378866
2004-03-01,2.128878494732972
2004-03-02,2.153645986474974
2004-03-03,2.1784134782169757
2004-03-04,2.2031809699589777
2004-03-05,2.2279484617009793
2004-03-06,2.2527159534429813
2004-03-07,2.2774834451849832
2004-03-08,2.302250936926985
2004-03-09,2.3270184286689863
2004-03-10,2.3517859204109883
2004-03-11,2.37655341215299
2004-03-12,2.401320903894992
2004-03-13,2.426088395636994
2004-03-14,2.4508558873789954
2004-03-15,2.4756233791209974
2004-03-16,2.500390870862999
2004-03-17,2.525158362605001
2004-03-18,2.5499258543470025
2004-03-19,2.5746933460890045
2004-03-20,2.599460837831006
2004-03-21,2.624228329573008
2004-03-22,2.64899582131501
2004-03-23,2.6737633130570115
2004-03-24,2.6985308047990135
2004-03-25,2.723298296541015
2004-03-26,2.748065788283017
2004-03-27,2.7728332800250186
2004-03-28,2.79760077176702
2004-03-29,2.8223682635090226
2004-03-30,2.847135755251024
2004-03-31,2.871903246993026
2004-04-01,2.8966707387350277
2004-04-02,2.871077663934959
2004-04-03,2.8454845891348906
2004-04-04,2.819891514334822
2004-04-05,2.7942984395347534
2004-04-06,2.768705364734685
2004-04-07,2.7431122899346163
2004-04-08,2.7175192151345477
2004-04-09,2.6919261403344796
2004-04-10,2.666333065534411
2004-04-11,2.6407399907343425
2004-04-12,2.615146915934274
2004-04-13,2.5895538411342054
2004-04-14,2.563960766334137
2004-04-15,2.5383676915340683
2004-04-16,2.512774616734
2004-04-17,2.4871815419339316
2004-04-18,2.461588467133863
2004-04-19,2.4359953923337945
2004-04-20,2.410402317533726
2004-04-21,2.3848092427336574
2004-04-22,2.359216167933589
2004-04-23,2.3336230931335207
2004-04-24,2.308030018333452
2004-04-25,2.2824369435333836
2004-04-26,2.256843868733315
2004-04-27,2.2312507939332464
2004-04-28,2.205657719133178
2004-04-29,2.1800646443331093
2004-04-30,2.1544715695330408
2004-05-01,2.128878494732972
2004-05-02,2.1502686012374284
2004-05-03,2.1716587077418845
2004-05-04,2.1930488142463402
2004-05-05,2.2144389207507964
2004-05-06,2.2358290272552526
2004-05-07,2.2572191337597087
2004-05-08,2.278609240264165
2004-05-09,2.299999346768621
2004-05-10,2.3213894532730768
2004-05-11,2.342779559777533
2004-05-12,2.364169666281989
2004-05-13,2.3855597727864453
2004-05-14,2.4069498792909014
2004-05-15,2.4283399857953576
2004-05-16,2.4497300922998133
2004-05-17,2.47112019880427
2004-05-18,2.4925103053087256
2004-05-19,2.513900411813182
2004-05-20,2.535290518317638
2004-05-21,2.556680624822094
