date,small business
2004-01-01,90.58662157567258
2004-01-02,90.46486536387732
2004-01-03,90.34310915208205
2004-01-04,90.22135294028679
2004-01-05,90.09959672849155
2004-01-06,89.97784051669629
2004-01-07,89.85608430490102
2004-01-08,89.73432809310576
2004-01-09,89.6125718813105
2004-01-10,89.49081566951526
2004-01-11,89.36905945771998
2004-01-12,89.24730324592473
2004-01-13,89.12554703412947
2004-01-14,89.00379082233421
2004-01-15,88.88203461053895
2004-01-16,88.7602783987437
2004-01-17,88.63852218694844
2004-01-18,88.51676597515318
2004-01-19,88.39500976335792
2004-01-20,88.27325355156266
2004-01-21,88.1514973397674
2004-01-22,88.02974112797214
2004-01-23,87.90798491617687
2004-01-24,87.78622870438163
2004-01-25,87.66447249258637
2004-01-26,87.54271628079111
2004-01-27,87.42096006899584
2004-01-28,87.29920385720058
2004-01-29,87.17744764540534
2004-01-30,87.05569143361008
2004-01-31,86.9339352218148
2004-02-01,86.81217901001955
2004-02-02,87.0724853938577
2004-02-03,87.33279177769583
2004-02-04,87.59309816153397
2004-02-05,87.8534045453721
2004-02-06,88.11371092921026
2004-02-07,88.3740173130484
2004-02-08,88.63432369688653
2004-02-09,88.89463008072467
2004-02-10,89.15493646456281
2004-02-11,89.41524284840095
2004-02-12,89.67554923223908
2004-02-13,89.93585561607723
2004-02-14,90.19616199991538
2004-02-15,90.4564683837535
2004-02-16,90.71677476759164
2004-02-17,90.97708115142979
2004-02-18,91.23738753526793
2004-02-19,91.49769391910607
2004-02-20,91.7580003029442
2004-02-21,92.01830668678235
2004-02-22,92.27861307062048
2004-02-23,92.53891945445862
2004-02-24,92.79922583829676
2004-02-25,93.0595322221349
2004-02-26,93.31983860597305
2004-02-27,93.58014498981117
2004-02-28,93.84045137364933
2004-02-29,94.10075775748746
2004-03-01,94.3610641413256
2004-03-02,94.1479907706839
2004-03-03,93.9349174000422
2004-03-04,93.7218440294005
2004-03-05,93.50877065875879
2004-03-06,93.2956972881171
2004-03-07,93.08262391747537
2004-03-08,92.86955054683368
2004-03-09,92.65647717619197
2004-03-10,92.44340380555028
2004-03-11,92.23033043490857
2004-03-12,92.01725706426687
2004-03-13,91.80418369362518
2004-03-14,91.59111032298347
2004-03-15,91.37803695234176
2004-03-16,91.16496358170005
2004-03-17,90.95189021105836
2004-03-18,90.73881684041665
2004-03-19,90.52574346977495
2004-03-20,90.31267009913324
2004-03-21,90.09959672849155
2004-03-22,89.88652335784984
2004-03-23,89.67344998720813
2004-03-24,89.46037661656644
2004-03-25,89.24730324592473
2004-03-26,89.03422987528303
2004-03-27,88.82115650464132
2004-03-28,88.60808313399963
2004-03-29,88.39500976335792
2004-03-30,88.18193639271621
2004-03-31,87.9688630220745
2004-04-01,87.7557896514328
2004-04-02,87.3783453948675
2004-04-03,87.00090113830221
2004-04-04,86.6234568817369
2004-04-05,86.2460126251716
2004-04-06,85.86856836860629
2004-04-07,85.49112411204099
2004-04-08,85.1136798554757
2004-04-09,84.73623559891038
2004-04-10,84.3587913423451
2004-04-11,83.98134708577979
2004-04-12,83.60390282921448
2004-04-13,83.22645857264918
2004-04-14,82.84901431608388
2004-04-15,82.47157005951858
2004-04-16,82.09412580295327
2004-04-17,81.71668154638796
2004-04-18,81.33923728982268
2004-04-19,80.96179303325736
2004-04-20,80.58434877669207
2004-04-21,80.20690452012676
2004-04-22,79.82946026356146
2004-04-23,79.45201600699616
2004-04-24,79.07457175043085
2004-04-25,78.69712749386555
2004-04-26,78.31968323730025
2004-04-27,77.94223898073494
2004-04-28,77.56479472416964
2004-04-29,77.18735046760433
2004-04-30,76.80990621103905
2004-05-01,76.43246195447374
2004-05-02,76.46290100742254
2004-05-03,76.49334006037137
2004-05-04,76.52377911332017
2004-05-05,76.554218166269
2004-05-06,76.5846572192178
2004-05-07,76.61509627216662
2004-05-08,76.64553532511543
2004-05-09,76.67597437806427
2004-05-10,76.70641343101308
2004-05-11,76.73685248396188
2004-05-12,76.7672915369107
2004-05-13,76.79773058985951
2004-05-14,76.82816964280833
2004-05-15,76.85860869575714
2004-05-16,76.88904774870596
2004-05-17,76.91948680165477
2004-05-18,76.94992585460359
2004-05-19,76.9803649075524
2004-05-20,77.0108039605012
2004-05-21,77.04124301345003
2004-05-22,77.07168206639884
2004-05-23,77.10212111934766
2004-05-24,77.13256017229646
2004-05-25,77.1629992252453
2004-05-26,77.19343827819411
2004-05-27,77.22387733114293
2004-05-28,77.25431638409174
2004-05-29,77.28475543704054
2004-05-30,77.31519448998937
2004-05-31,77.34563354293817
2004-06-01,77.376072595887
2004-06-02,77.47043366002832
2004-06-03,77.56479472416964
2004-06-04,77.65915578831097
2004-06-05,77.75351685245231
2004-06-06,77.84787791659362
2004-06-07,77.94223898073494
2004-06-08,78.03660004487628
2004-06-09,78.13096110901759
2004-06-10,78.22532217315893
2004-06-11,78.31968323730025
2004-06-12,78.41404430144156
2004-06-13,78.5084053655829
2004-06-14,78.60276642972423
2004-06-15,78.69712749386555
2004-06-16,78.79148855800688
2004-06-17,78.8858496221482
2004-06-18,78.98021068628952
2004-06-19,79.07457175043085
2004-06-20,79.16893281457219
2004-06-21,79.26329387871351
2004-06-22,79.35765494285482
2004-06-23,79.45201600699616
2004-06-24,79.54637707113748
2004-06-25,79.64073813527881
2004-06-26,79.73509919942013
2004-06-27,79.82946026356146
2004-06-28,79.92382132770278
2004-06-29,80.0181823918441
2004-06-30,80.11254345598545
2004-07-01,80.20690452012676
2004-07-02,80.20690452012676
2004-07-03,80.20690452012676
2004-07-04,80.20690452012676
