date,furniture 
2004-01-01,83.51675336432575
2004-01-02,83.2204035943233
2004-01-03,82.92405382432086
2004-01-04,82.62770405431841
2004-01-05,82.33135428431596
2004-01-06,82.03500451431351
2004-01-07,81.73865474431108
2004-01-08,81.44230497430863
2004-01-09,81.14595520430618
2004-01-10,80.84960543430374
2004-01-11,80.55325566430129
2004-01-12,80.25690589429884
2004-01-13,79.96055612429639
2004-01-14,79.66420635429395
2004-01-15,79.3678565842915
2004-01-16,79.07150681428905
2004-01-17,78.77515704428662
2004-01-18,78.47880727428416
2004-01-19,78.18245750428171
2004-01-20,77.88610773427926
2004-01-21,77.58975796427683
2004-01-22,77.29340819427438
2004-01-23,76.99705842427193
2004-01-24,76.70070865426949
2004-01-25,76.40435888426704
2004-01-26,76.10800911426459
2004-01-27,75.81165934426215
2004-01-28,75.5153095742597
2004-01-29,75.21895980425725
2004-01-30,74.9226100342548
2004-01-31,74.62626026425237
2004-02-01,74.32991049424992
2004-02-02,74.272312733309
2004-02-03,74.21471497236809
2004-02-04,74.15711721142716
2004-02-05,74.09951945048626
2004-02-06,74.04192168954535
2004-02-07,73.98432392860444
2004-02-08,73.92672616766352
2004-02-09,73.8691284067226
2004-02-10,73.81153064578169
2004-02-11,73.75393288484076
2004-02-12,73.69633512389986
2004-02-13,73.63873736295893
2004-02-14,73.58113960201803
2004-02-15,73.5235418410771
2004-02-16,73.46594408013621
2004-02-17,73.40834631919529
2004-02-18,73.35074855825438
2004-02-19,73.29315079731346
2004-02-20,73.23555303637254
2004-02-21,73.17795527543163
2004-02-22,73.1203575144907
2004-02-23,73.0627597535498
2004-02-24,73.00516199260888
2004-02-25,72.94756423166797
2004-02-26,72.88996647072706
2004-02-27,72.83236870978615
2004-02-28,72.77477094884523
2004-02-29,72.71717318790431
2004-03-01,72.6595754269634
2004-03-02,72.63263453878136
2004-03-03,72.60569365059932
2004-03-04,72.57875276241728
2004-03-05,72.55181187423524
2004-03-06,72.5248709860532
2004-03-07,72.49793009787116
2004-03-08,72.47098920968912
2004-03-09,72.44404832150707
2004-03-10,72.41710743332503
2004-03-11,72.39016654514299
2004-03-12,72.36322565696095
2004-03-13,72.33628476877891
2004-03-14,72.30934388059687
2004-03-15,72.28240299241483
2004-03-16,72.25546210423279
2004-03-17,72.22852121605075
2004-03-18,72.20158032786871
2004-03-19,72.17463943968667
2004-03-20,72.14769855150463
2004-03-21,72.12075766332259
2004-03-22,72.09381677514055
2004-03-23,72.06687588695851
2004-03-24,72.03993499877647
2004-03-25,72.01299411059442
2004-03-26,71.98605322241238
2004-03-27,71.95911233423034
2004-03-28,71.9321714460483
2004-03-29,71.90523055786626
2004-03-30,71.87828966968422
2004-03-31,71.85134878150218
2004-04-01,71.82440789332014
2004-04-02,71.79656897553204
2004-04-03,71.76873005774392
2004-04-04,71.74089113995582
2004-04-05,71.7130522221677
2004-04-06,71.6852133043796
2004-04-07,71.65737438659148
2004-04-08,71.62953546880338
2004-04-09,71.60169655101528
2004-04-10,71.57385763322716
2004-04-11,71.54601871543906
2004-04-12,71.51817979765096
2004-04-13,71.49034087986283
2004-04-14,71.46250196207473
2004-04-15,71.43466304428662
2004-04-16,71.4068241264985
2004-04-17,71.3789852087104
2004-04-18,71.3511462909223
2004-04-19,71.3233073731342
2004-04-20,71.29546845534607
2004-04-21,71.26762953755797
2004-04-22,71.23979061976986
2004-04-23,71.21195170198175
2004-04-24,71.18411278419364
2004-04-25,71.15627386640554
2004-04-26,71.12843494861742
2004-04-27,71.10059603082932
2004-04-28,71.0727571130412
2004-04-29,71.0449181952531
2004-04-30,71.01707927746499
2004-05-01,70.98924035967688
2004-05-02,71.01618124785892
2004-05-03,71.04312213604096
2004-05-04,71.070063024223
2004-05-05,71.09700391240504
2004-05-06,71.12394480058708
2004-05-07,71.15088568876912
2004-05-08,71.17782657695116
2004-05-09,71.20476746513322
2004-05-10,71.23170835331526
2004-05-11,71.2586492414973
2004-05-12,71.28559012967933
2004-05-13,71.31253101786137
2004-05-14,71.33947190604341
2004-05-15,71.36641279422545
2004-05-16,71.3933536824075
2004-05-17,71.42029457058953
2004-05-18,71.44723545877157
2004-05-19,71.47417634695361
2004-05-20,71.50111723513565
2004-05-21,71.52805812331769
2004-05-22,71.55499901149973
2004-05-23,71.58193989968177
2004-05-24,71.60888078786381
2004-05-25,71.63582167604586
2004-05-26,71.6627625642279
2004-05-27,71.68970345240994
2004-05-28,71.71664434059198
2004-05-29,71.74358522877402
2004-05-30,71.77052611695606
2004-05-31,71.7974670051381
2004-06-01,71.82440789332014
2004-06-02,72.18631382456556
2004-06-03,72.54821975581096
2004-06-04,72.91012568705638
2004-06-05,73.2720316183018
2004-06-06,73.6339375495472
2004-06-07,73.9958434807926
2004-06-08,74.35774941203802
2004-06-09,74.71965534328343
2004-06-10,75.08156127452885
2004-06-11,75.44346720577425
2004-06-12,75.80537313701967
2004-06-13,76.16727906826509
2004-06-14,76.52918499951049
2004-06-15,76.8910909307559
2004-06-16,77.25299686200131
2004-06-17,77.61490279324673
2004-06-18,77.97680872449213
2004-06-19,78.33871465573755
2004-06-20,78.70062058698296
2004-06-21,79.06252651822838
2004-06-22,79.42443244947378
2004-06-23,79.7863383807192
2004-06-24,80.1482443119646
2004-06-25,80.51015024321002
2004-06-26,80.87205617445542
2004-06-27,81.23396210570084
2004-06-28,81.59586803694626
2004-06-29,81.95777396819167
2004-06-30,82.31967989943708
2004-07-01,82.6815858306825
2004-07-02,82.57382227795433
2004-07-03,82.46605872522616
2004-07-04,82.358295172498
