date,bankruptcy 
2004-01-01,74.67027738900146
2004-01-02,74.6108028550397
2004-01-03,74.55132832107792
2004-01-04,74.49185378711616
2004-01-05,74.43237925315437
2004-01-06,74.3729047191926
2004-01-07,74.31343018523084
2004-01-08,74.25395565126907
2004-01-09,74.1944811173073
2004-01-10,74.13500658334553
2004-01-11,74.07553204938377
2004-01-12,74.01605751542199
2004-01-13,73.95658298146022
2004-01-14,73.89710844749845
2004-01-15,73.83763391353668
2004-01-16,73.77815937957492
2004-01-17,73.71868484561314
2004-01-18,73.65921031165138
2004-01-19,73.59973577768962
2004-01-20,73.54026124372784
2004-01-21,73.48078670976606
2004-01-22,73.42131217580429
2004-01-23,73.36183764184253
2004-01-24,73.30236310788077
2004-01-25,73.24288857391899
2004-01-26,73.18341403995723
2004-01-27,73.12393950599545
2004-01-28,73.06446497203369
2004-01-29,73.00499043807191
2004-01-30,72.94551590411014
2004-01-31,72.88604137014838
2004-02-01,72.8265668361866
2004-02-02,72.8265668361866
2004-02-03,72.8265668361866
2004-02-04,72.8265668361866
2004-02-05,72.8265668361866
2004-02-06,72.8265668361866
2004-02-07,72.8265668361866
2004-02-08,72.8265668361866
2004-02-09,72.8265668361866
2004-02-10,72.8265668361866
2004-02-11,72.8265668361866
2004-02-12,72.8265668361866
2004-02-13,72.8265668361866
2004-02-14,72.8265668361866
2004-02-15,72.8265668361866
2004-02-16,72.8265668361866
2004-02-17,72.8265668361866
2004-02-18,72.8265668361866
2004-02-19,72.8265668361866
2004-02-20,72.8265668361866
2004-02-21,72.8265668361866
2004-02-22,72.8265668361866
2004-02-23,72.8265668361866
2004-02-24,72.8265668361866
2004-02-25,72.8265668361866
2004-02-26,72.8265668361866
2004-02-27,72.8265668361866
2004-02-28,72.8265668361866
2004-02-29,72.8265668361866
2004-03-01,72.8265668361866
2004-03-02,72.8265668361866
2004-03-03,72.8265668361866
2004-03-04,72.8265668361866
2004-03-05,72.8265668361866
2004-03-06,72.8265668361866
2004-03-07,72.8265668361866
2004-03-08,72.8265668361866
