date,education 
2004-01-01,78.18623770318264
2004-01-02,78.16101633618162
2004-01-03,78.13579496918058
2004-01-04,78.11057360217956
2004-01-05,78.08535223517853
2004-01-06,78.06013086817751
2004-01-07,78.03490950117649
2004-01-08,78.00968813417546
2004-01-09,77.98446676717442
2004-01-10,77.95924540017339
2004-01-11,77.93402403317236
2004-01-12,77.90880266617134
2004-01-13,77.88358129917032
2004-01-14,77.8583599321693
2004-01-15,77.83313856516827
2004-01-16,77.80791719816723
2004-01-17,77.78269583116621
2004-01-18,77.75747446416518
2004-01-19,77.73225309716416
2004-01-20,77.70703173016314
2004-01-21,77.68181036316211
2004-01-22,77.65658899616108
2004-01-23,77.63136762916005
2004-01-24,77.60614626215903
2004-01-25,77.58092489515799
2004-01-26,77.55570352815697
2004-01-27,77.53048216115594
2004-01-28,77.50526079415492
2004-01-29,77.48003942715388
2004-01-30,77.45481806015286
2004-01-31,77.42959669315184
2004-02-01,77.40437532615081
2004-02-02,77.37741455452903
2004-02-03,77.35045378290724
2004-02-04,77.32349301128545
2004-02-05,77.29653223966366
2004-02-06,77.26957146804187
2004-02-07,77.24261069642009
2004-02-08,77.2156499247983
2004-02-09,77.18868915317651
2004-02-10,77.16172838155472
2004-02-11,77.13476760993295
2004-02-12,77.10780683831115
2004-02-13,77.08084606668938
2004-02-14,77.05388529506757
2004-02-15,77.0269245234458
2004-02-16,76.999963751824
2004-02-17,76.97300298020222
2004-02-18,76.94604220858042
2004-02-19,76.91908143695865
2004-02-20,76.89212066533685
2004-02-21,76.86515989371507
2004-02-22,76.83819912209329
2004-02-23,76.8112383504715
2004-02-24,76.78427757884971
2004-02-25,76.75731680722792
2004-02-26,76.73035603560614
2004-02-27,76.70339526398435
2004-02-28,76.67643449236256
2004-02-29,76.64947372074077
2004-03-01,76.62251294911898
2004-03-02,76.5468488481159
2004-03-03,76.47118474711283
2004-03-04,76.39552064610974
2004-03-05,76.31985654510666
2004-03-06,76.24419244410359
2004-03-07,76.1685283431005
2004-03-08,76.09286424209743
2004-03-09,76.01720014109434
2004-03-10,75.94153604009126
2004-03-11,75.86587193908818
2004-03-12,75.79020783808511
2004-03-13,75.71454373708202
2004-03-14,75.63887963607894
2004-03-15,75.56321553507586
2004-03-16,75.48755143407278
2004-03-17,75.4118873330697
2004-03-18,75.33622323206663
2004-03-19,75.26055913106354
2004-03-20,75.18489503006046
2004-03-21,75.10923092905739
2004-03-22,75.0335668280543
2004-03-23,74.95790272705123
2004-03-24,74.88223862604815
2004-03-25,74.80657452504506
2004-03-26,74.73091042404198
2004-03-27,74.65524632303891
2004-03-28,74.57958222203582
2004-03-29,74.50391812103275
2004-03-30,74.42825402002966
2004-03-31,74.35258991902658
2004-04-01,74.2769258180235
2004-04-02,74.2769258180235
2004-04-03,74.2769258180235
2004-04-04,74.2769258180235
2004-04-05,74.2769258180235
2004-04-06,74.2769258180235
2004-04-07,74.2769258180235
2004-04-08,74.2769258180235
2004-04-09,74.2769258180235
2004-04-10,74.2769258180235
2004-04-11,74.2769258180235
2004-04-12,74.2769258180235
2004-04-13,74.2769258180235
2004-04-14,74.2769258180235
2004-04-15,74.2769258180235
2004-04-16,74.2769258180235
2004-04-17,74.2769258180235
2004-04-18,74.2769258180235
2004-04-19,74.2769258180235
2004-04-20,74.2769258180235
2004-04-21,74.2769258180235
2004-04-22,74.2769258180235
2004-04-23,74.2769258180235
2004-04-24,74.2769258180235
2004-04-25,74.2769258180235
2004-04-26,74.2769258180235
2004-04-27,74.2769258180235
2004-04-28,74.2769258180235
2004-04-29,74.2769258180235
2004-04-30,74.2769258180235
2004-05-01,74.2769258180235
2004-05-02,74.15081898301838
2004-05-03,74.02471214801324
2004-05-04,73.8986053130081
2004-05-05,73.77249847800297
2004-05-06,73.64639164299784
2004-05-07,73.52028480799271
2004-05-08,73.39417797298758
2004-05-09,73.26807113798243
2004-05-10,73.1419643029773
2004-05-11,73.01585746797217
2004-05-12,72.88975063296704
2004-05-13,72.7636437979619
2004-05-14,72.63753696295677
2004-05-15,72.51143012795163
2004-05-16,72.38532329294651
2004-05-17,72.25921645794138
2004-05-18,72.13310962293625
2004-05-19,72.0070027879311
2004-05-20,71.88089595292597
2004-05-21,71.75478911792085
2004-05-22,71.6286822829157
2004-05-23,71.50257544791057
2004-05-24,71.37646861290544
2004-05-25,71.25036177790031
2004-05-26,71.12425494289518
2004-05-27,70.99814810789005
2004-05-28,70.8720412728849
2004-05-29,70.74593443787977
2004-05-30,70.61982760287465
2004-05-31,70.4937207678695
2004-06-01,70.36761393286437
2004-06-02,70.02880690281725
2004-06-03,69.68999987277013
2004-06-04,69.351192842723
2004-06-05,69.01238581267587
2004-06-06,68.67357878262875
2004-06-07,68.33477175258163
2004-06-08,67.9959647225345
2004-06-09,67.65715769248737
2004-06-10,67.31835066244025
2004-06-11,66.97954363239313
2004-06-12,66.640736602346
2004-06-13,66.30192957229887
2004-06-14,65.96312254225175
2004-06-15,65.62431551220463
2004-06-16,65.2855084821575
2004-06-17,64.94670145211037
2004-06-18,64.60789442206325
2004-06-19,64.26908739201613
2004-06-20,63.930280361969004
2004-06-21,63.591473331921875
2004-06-22,63.25266630187476
2004-06-23,62.91385927182763
2004-06-24,62.575052241780504
2004-06-25,62.236245211733376
2004-06-26,61.897438181686255
2004-06-27,61.55863115163913
2004-06-28,61.219824121592005
2004-06-29,60.88101709154488
2004-06-30,60.542210061497755
2004-07-01,60.203403031450634
2004-07-02,60.430395334459874
2004-07-03,60.65738763746911
2004-07-04,60.884379940478354
