date,insurance 
2004-01-01,87.83361266537001
2004-01-02,87.57861185440602
2004-01-03,87.32361104344206
2004-01-04,87.06861023247808
2004-01-05,86.8136094215141
2004-01-06,86.55860861055012
2004-01-07,86.30360779958615
2004-01-08,86.04860698862217
2004-01-09,85.79360617765819
2004-01-10,85.53860536669421
2004-01-11,85.28360455573024
2004-01-12,85.02860374476626
2004-01-13,84.77360293380228
2004-01-14,84.5186021228383
2004-01-15,84.26360131187433
2004-01-16,84.00860050091035
2004-01-17,83.75359968994637
2004-01-18,83.49859887898239
2004-01-19,83.24359806801841
2004-01-20,82.98859725705444
2004-01-21,82.73359644609046
2004-01-22,82.47859563512648
2004-01-23,82.2235948241625
2004-01-24,81.96859401319853
2004-01-25,81.71359320223455
2004-01-26,81.45859239127057
2004-01-27,81.2035915803066
2004-01-28,80.94859076934262
2004-01-29,80.69358995837864
2004-01-30,80.43858914741466
2004-01-31,80.1835883364507
2004-02-01,79.9285875254867
2004-02-02,79.95887497812993
2004-02-03,79.98916243077318
2004-02-04,80.0194498834164
2004-02-05,80.04973733605964
2004-02-06,80.08002478870286
2004-02-07,80.1103122413461
2004-02-08,80.14059969398933
2004-02-09,80.17088714663257
2004-02-10,80.20117459927579
2004-02-11,80.23146205191901
2004-02-12,80.26174950456225
2004-02-13,80.29203695720548
2004-02-14,80.32232440984872
2004-02-15,80.35261186249194
2004-02-16,80.38289931513518
2004-02-17,80.4131867677784
2004-02-18,80.44347422042163
2004-02-19,80.47376167306487
2004-02-20,80.50404912570811
2004-02-21,80.53433657835133
2004-02-22,80.56462403099455
2004-02-23,80.59491148363779
2004-02-24,80.62519893628102
2004-02-25,80.65548638892426
2004-02-26,80.68577384156748
2004-02-27,80.71606129421072
2004-02-28,80.74634874685394
2004-02-29,80.77663619949718
2004-03-01,80.80692365214041
2004-03-02,80.75025680525953
2004-03-03,80.69358995837864
2004-03-04,80.63692311149777
2004-03-05,80.58025626461686
2004-03-06,80.52358941773599
2004-03-07,80.4669225708551
2004-03-08,80.41025572397422
2004-03-09,80.35358887709334
2004-03-10,80.29692203021246
2004-03-11,80.24025518333157
2004-03-12,80.1835883364507
2004-03-13,80.1269214895698
2004-03-14,80.07025464268891
2004-03-15,80.01358779580804
2004-03-16,79.95692094892715
2004-03-17,79.90025410204626
2004-03-18,79.84358725516539
2004-03-19,79.7869204082845
2004-03-20,79.73025356140361
2004-03-21,79.67358671452273
2004-03-22,79.61691986764184
2004-03-23,79.56025302076097
2004-03-24,79.50358617388008
2004-03-25,79.4469193269992
2004-03-26,79.39025248011832
2004-03-27,79.33358563323743
2004-03-28,79.27691878635655
2004-03-29,79.22025193947566
2004-03-30,79.16358509259477
2004-03-31,79.10691824571389
2004-04-01,79.05025139883301
2004-04-02,78.93313991527917
2004-04-03,78.81602843172536
2004-04-04,78.69891694817153
2004-04-05,78.5818054646177
2004-04-06,78.46469398106387
2004-04-07,78.34758249751005
2004-04-08,78.23047101395622
2004-04-09,78.11335953040239
2004-04-10,77.99624804684856
2004-04-11,77.87913656329475
2004-04-12,77.76202507974091
2004-04-13,77.6449135961871
2004-04-14,77.52780211263325
2004-04-15,77.41069062907944
2004-04-16,77.29357914552561
2004-04-17,77.17646766197177
2004-04-18,77.05935617841796
2004-04-19,76.94224469486413
2004-04-20,76.8251332113103
2004-04-21,76.70802172775647
2004-04-22,76.59091024420265
2004-04-23,76.47379876064882
2004-04-24,76.35668727709499
2004-04-25,76.23957579354116
2004-04-26,76.12246430998735
2004-04-27,76.00535282643351
2004-04-28,75.8882413428797
2004-04-29,75.77112985932585
2004-04-30,75.65401837577204
2004-05-01,75.53690689221821
2004-05-02,75.76357427974175
2004-05-03,75.99024166726528
2004-05-04,76.21690905478881
2004-05-05,76.44357644231235
2004-05-06,76.6702438298359
2004-05-07,76.89691121735942
2004-05-08,77.12357860488297
2004-05-09,77.35024599240649
2004-05-10,77.57691337993003
2004-05-11,77.80358076745357
2004-05-12,78.0302481549771
2004-05-13,78.25691554250064
2004-05-14,78.48358293002417
2004-05-15,78.7102503175477
2004-05-16,78.93691770507124
2004-05-17,79.16358509259477
2004-05-18,79.39025248011832
2004-05-19,79.61691986764184
2004-05-20,79.84358725516539
2004-05-21,80.07025464268891
2004-05-22,80.29692203021246
2004-05-23,80.52358941773599
2004-05-24,80.75025680525953
2004-05-25,80.97692419278306
2004-05-26,81.2035915803066
2004-05-27,81.43025896783013
2004-05-28,81.65692635535366
2004-05-29,81.8835937428772
2004-05-30,82.11026113040074
2004-05-31,82.33692851792426
2004-06-01,82.56359590544781
2004-06-02,82.59287377633626
2004-06-03,82.62215164722471
2004-06-04,82.65142951811318
2004-06-05,82.68070738900164
2004-06-06,82.70998525989009
2004-06-07,82.73926313077855
2004-06-08,82.768541001667
2004-06-09,82.79781887255547
2004-06-10,82.82709674344392
2004-06-11,82.85637461433237
2004-06-12,82.88565248522083
2004-06-13,82.9149303561093
2004-06-14,82.94420822699774
2004-06-15,82.97348609788621
2004-06-16,83.00276396877466
2004-06-17,83.03204183966311
2004-06-18,83.06131971055157
2004-06-19,83.09059758144002
2004-06-20,83.11987545232849
2004-06-21,83.14915332321695
2004-06-22,83.1784311941054
2004-06-23,83.20770906499385
2004-06-24,83.23698693588231
2004-06-25,83.26626480677076
2004-06-26,83.29554267765923
2004-06-27,83.32482054854768
2004-06-28,83.35409841943614
2004-06-29,83.3833762903246
2004-06-30,83.41265416121306
2004-07-01,83.4419320321015
2004-07-02,83.49859887898239
2004-07-03,83.55526572586328
2004-07-04,83.61193257274415
