date,rental 
2004-01-01,84.62152636615164
2004-01-02,84.55062437506145
2004-01-03,84.47972238397125
2004-01-04,84.40882039288105
2004-01-05,84.33791840179083
2004-01-06,84.26701641070063
2004-01-07,84.19611441961044
2004-01-08,84.12521242852024
2004-01-09,84.05431043743005
2004-01-10,83.98340844633985
2004-01-11,83.91250645524966
2004-01-12,83.84160446415946
2004-01-13,83.77070247306925
2004-01-14,83.69980048197905
2004-01-15,83.62889849088886
2004-01-16,83.55799649979866
2004-01-17,83.48709450870847
2004-01-18,83.41619251761827
2004-01-19,83.34529052652807
2004-01-20,83.27438853543788
2004-01-21,83.20348654434767
2004-01-22,83.13258455325747
2004-01-23,83.06168256216728
2004-01-24,82.99078057107708
2004-01-25,82.91987857998689
2004-01-26,82.84897658889669
2004-01-27,82.77807459780648
2004-01-28,82.70717260671628
2004-01-29,82.63627061562607
2004-01-30,82.56536862453588
2004-01-31,82.49446663344568
2004-02-01,82.42356464235549
2004-02-02,82.49935642593466
2004-02-03,82.57514820951384
2004-02-04,82.65093999309303
2004-02-05,82.72673177667221
2004-02-06,82.80252356025137
2004-02-07,82.87831534383055
2004-02-08,82.95410712740973
2004-02-09,83.0298989109889
2004-02-10,83.10569069456808
2004-02-11,83.18148247814726
2004-02-12,83.25727426172645
2004-02-13,83.33306604530563
2004-02-14,83.4088578288848
2004-02-15,83.48464961246398
2004-02-16,83.56044139604315
2004-02-17,83.63623317962232
2004-02-18,83.7120249632015
2004-02-19,83.78781674678068
2004-02-20,83.86360853035985
2004-02-21,83.93940031393905
2004-02-22,84.01519209751822
2004-02-23,84.0909838810974
2004-02-24,84.16677566467658
2004-02-25,84.24256744825576
2004-02-26,84.31835923183492
2004-02-27,84.3941510154141
2004-02-28,84.46994279899327
2004-02-29,84.54573458257246
2004-03-01,84.62152636615164
2004-03-02,84.79878134387712
2004-03-03,84.97603632160263
2004-03-04,85.15329129932812
2004-03-05,85.33054627705361
2004-03-06,85.50780125477912
2004-03-07,85.6850562325046
2004-03-08,85.8623112102301
2004-03-09,86.03956618795561
2004-03-10,86.2168211656811
2004-03-11,86.3940761434066
2004-03-12,86.57133112113209
2004-03-13,86.74858609885759
2004-03-14,86.92584107658308
2004-03-15,87.10309605430858
2004-03-16,87.28035103203408
2004-03-17,87.45760600975956
2004-03-18,87.63486098748506
2004-03-19,87.81211596521057
2004-03-20,87.98937094293605
2004-03-21,88.16662592066155
2004-03-22,88.34388089838706
2004-03-23,88.52113587611254
2004-03-24,88.69839085383803
2004-03-25,88.87564583156353
2004-03-26,89.05290080928903
2004-03-27,89.23015578701452
2004-03-28,89.40741076474002
2004-03-29,89.58466574246552
2004-03-30,89.761920720191
2004-03-31,89.93917569791651
2004-04-01,90.11643067564201
2004-04-02,90.26296145722841
2004-04-03,90.40949223881482
2004-04-04,90.55602302040124
2004-04-05,90.70255380198763
2004-04-06,90.84908458357405
2004-04-07,90.99561536516046
2004-04-08,91.14214614674688
2004-04-09,91.28867692833327
2004-04-10,91.4352077099197
2004-04-11,91.5817384915061
2004-04-12,91.72826927309251
2004-04-13,91.87480005467891
2004-04-14,92.02133083626534
2004-04-15,92.16786161785173
2004-04-16,92.31439239943815
2004-04-17,92.46092318102457
2004-04-18,92.60745396261096
2004-04-19,92.75398474419738
2004-04-20,92.90051552578379
2004-04-21,93.04704630737021
2004-04-22,93.1935770889566
2004-04-23,93.34010787054302
2004-04-24,93.48663865212943
2004-04-25,93.63316943371584
2004-04-26,93.77970021530224
2004-04-27,93.92623099688866
2004-04-28,94.07276177847505
2004-04-29,94.21929256006148
2004-04-30,94.36582334164788
2004-05-01,94.51235412323429
2004-05-02,94.7959620875951
2004-05-03,95.07957005195588
2004-05-04,95.36317801631668
2004-05-05,95.64678598067746
2004-05-06,95.93039394503826
2004-05-07,96.21400190939906
2004-05-08,96.49760987375986
2004-05-09,96.78121783812064
2004-05-10,97.06482580248144
2004-05-11,97.34843376684222
2004-05-12,97.63204173120302
2004-05-13,97.91564969556381
2004-05-14,98.19925765992461
2004-05-15,98.4828656242854
2004-05-16,98.76647358864619
2004-05-17,99.05008155300698
2004-05-18,99.33368951736779
2004-05-19,99.61729748172857
2004-05-20,99.90090544608937
2004-05-21,100.18451341045015
2004-05-22,100.46812137481095
2004-05-23,100.75172933917173
2004-05-24,101.03533730353254
2004-05-25,101.31894526789333
2004-05-26,101.60255323225412
2004-05-27,101.8861611966149
2004-05-28,102.1697691609757
2004-05-29,102.4533771253365
2004-05-30,102.7369850896973
2004-05-31,103.02059305405808
2004-06-01,103.30420101841888
2004-06-02,103.5239971907985
2004-06-03,103.74379336317811
2004-06-04,103.96358953555772
2004-06-05,104.18338570793733
2004-06-06,104.40318188031695
2004-06-07,104.62297805269657
2004-06-08,104.84277422507618
2004-06-09,105.06257039745579
2004-06-10,105.2823665698354
2004-06-11,105.50216274221503
2004-06-12,105.72195891459465
2004-06-13,105.94175508697427
2004-06-14,106.16155125935387
2004-06-15,106.38134743173349
2004-06-16,106.6011436041131
2004-06-17,106.82093977649272
2004-06-18,107.04073594887234
2004-06-19,107.26053212125194
2004-06-20,107.48032829363156
2004-06-21,107.70012446601118
2004-06-22,107.91992063839079
2004-06-23,108.13971681077041
2004-06-24,108.35951298315001
2004-06-25,108.57930915552963
2004-06-26,108.79910532790925
2004-06-27,109.01890150028886
2004-06-28,109.23869767266848
2004-06-29,109.45849384504808
2004-06-30,109.6782900174277
2004-07-01,109.89808618980732
2004-07-02,109.57902722990143
2004-07-03,109.25996826999554
2004-07-04,108.94090931008964
