date,financial planning 
2004-01-01,77.19698411042248
2004-01-02,77.12227735160593
2004-01-03,77.0475705927894
2004-01-04,76.97286383397285
2004-01-05,76.89815707515632
2004-01-06,76.82345031633979
2004-01-07,76.74874355752324
2004-01-08,76.67403679870671
2004-01-09,76.59933003989016
2004-01-10,76.52462328107363
2004-01-11,76.4499165222571
2004-01-12,76.37520976344055
2004-01-13,76.30050300462402
2004-01-14,76.22579624580747
2004-01-15,76.15108948699094
2004-01-16,76.07638272817441
2004-01-17,76.00167596935786
2004-01-18,75.92696921054133
2004-01-19,75.8522624517248
2004-01-20,75.77755569290825
2004-01-21,75.70284893409172
2004-01-22,75.62814217527517
2004-01-23,75.55343541645864
2004-01-24,75.47872865764211
2004-01-25,75.40402189882556
2004-01-26,75.32931514000903
2004-01-27,75.25460838119248
2004-01-28,75.17990162237595
2004-01-29,75.10519486355942
2004-01-30,75.03048810474287
2004-01-31,74.95578134592634
2004-02-01,74.8810745871098
2004-02-02,74.6681173895638
2004-02-03,74.45516019201781
2004-02-04,74.24220299447181
2004-02-05,74.02924579692584
2004-02-06,73.81628859937983
2004-02-07,73.60333140183384
2004-02-08,73.39037420428785
2004-02-09,73.17741700674185
2004-02-10,72.96445980919586
2004-02-11,72.75150261164987
2004-02-12,72.53854541410388
2004-02-13,72.32558821655789
2004-02-14,72.11263101901189
2004-02-15,71.8996738214659
2004-02-16,71.6867166239199
2004-02-17,71.47375942637392
2004-02-18,71.26080222882791
2004-02-19,71.04784503128192
2004-02-20,70.83488783373593
2004-02-21,70.62193063618993
2004-02-22,70.40897343864395
2004-02-23,70.19601624109795
2004-02-24,69.98305904355196
2004-02-25,69.77010184600597
2004-02-26,69.55714464845997
2004-02-27,69.34418745091398
2004-02-28,69.13123025336799
2004-02-29,68.918273055822
2004-03-01,68.705315858276
2004-03-02,68.73021811121485
2004-03-03,68.7551203641537
2004-03-04,68.78002261709254
2004-03-05,68.80492487003139
2004-03-06,68.82982712297023
2004-03-07,68.85472937590907
2004-03-08,68.87963162884792
2004-03-09,68.90453388178678
2004-03-10,68.92943613472562
2004-03-11,68.95433838766446
2004-03-12,68.97924064060331
2004-03-13,69.00414289354215
2004-03-14,69.029045146481
2004-03-15,69.05394739941984
2004-03-16,69.07884965235868
2004-03-17,69.10375190529754
2004-03-18,69.12865415823639
2004-03-19,69.15355641117523
2004-03-20,69.17845866411407
2004-03-21,69.20336091705292
2004-03-22,69.22826316999176
2004-03-23,69.2531654229306
2004-03-24,69.27806767586945
2004-03-25,69.30296992880831
2004-03-26,69.32787218174715
2004-03-27,69.352774434686
2004-03-28,69.37767668762484
2004-03-29,69.40257894056369
2004-03-30,69.42748119350253
2004-03-31,69.45238344644137
2004-04-01,69.47728569938023
2004-04-02,69.34862405919618
2004-04-03,69.21996241901215
2004-04-04,69.09130077882811
2004-04-05,68.96263913864408
2004-04-06,68.83397749846004
2004-04-07,68.705315858276
2004-04-08,68.57665421809196
2004-04-09,68.44799257790793
2004-04-10,68.31933093772389
2004-04-11,68.19066929753984
2004-04-12,68.06200765735582
2004-04-13,67.93334601717177
2004-04-14,67.80468437698774
2004-04-15,67.6760227368037
2004-04-16,67.54736109661967
2004-04-17,67.41869945643562
2004-04-18,67.2900378162516
2004-04-19,67.16137617606755
2004-04-20,67.03271453588351
2004-04-21,66.90405289569948
2004-04-22,66.77539125551544
2004-04-23,66.6467296153314
2004-04-24,66.51806797514737
2004-04-25,66.38940633496333
2004-04-26,66.26074469477929
2004-04-27,66.13208305459526
2004-04-28,66.00342141441122
2004-04-29,65.87475977422717
2004-04-30,65.74609813404314
2004-05-01,65.6174364938591
2004-05-02,65.71704550561448
2004-05-03,65.81665451736987
2004-05-04,65.91626352912526
2004-05-05,66.01587254088064
2004-05-06,66.11548155263601
2004-05-07,66.2150905643914
2004-05-08,66.3146995761468
2004-05-09,66.41430858790217
2004-05-10,66.51391759965755
2004-05-11,66.61352661141295
2004-05-12,66.71313562316833
2004-05-13,66.8127446349237
2004-05-14,66.9123536466791
2004-05-15,67.01196265843448
2004-05-16,67.11157167018986
2004-05-17,67.21118068194524
2004-05-18,67.31078969370063
2004-05-19,67.41039870545602
2004-05-20,67.5100077172114
2004-05-21,67.60961672896677
2004-05-22,67.70922574072216
2004-05-23,67.80883475247755
2004-05-24,67.90844376423293
2004-05-25,68.00805277598832
2004-05-26,68.1076617877437
2004-05-27,68.20727079949909
2004-05-28,68.30687981125446
2004-05-29,68.40648882300985
2004-05-30,68.50609783476523
2004-05-31,68.60570684652062
2004-06-01,68.705315858276
2004-06-02,68.7310481863128
2004-06-03,68.75678051434961
2004-06-04,68.78251284238642
2004-06-05,68.80824517042323
2004-06-06,68.83397749846004
2004-06-07,68.85970982649685
2004-06-08,68.88544215453365
2004-06-09,68.91117448257046
2004-06-10,68.93690681060727
2004-06-11,68.96263913864408
2004-06-12,68.98837146668087
2004-06-13,69.0141037947177
2004-06-14,69.03983612275451
2004-06-15,69.0655684507913
2004-06-16,69.09130077882811
2004-06-17,69.11703310686492
2004-06-18,69.14276543490172
2004-06-19,69.16849776293853
2004-06-20,69.19423009097535
2004-06-21,69.21996241901215
2004-06-22,69.24569474704896
2004-06-23,69.27142707508577
2004-06-24,69.29715940312258
2004-06-25,69.32289173115937
2004-06-26,69.34862405919618
2004-06-27,69.374356387233
2004-06-28,69.4000887152698
2004-06-29,69.42582104330661
2004-06-30,69.45155337134342
2004-07-01,69.47728569938023
2004-07-02,69.32787218174715
2004-07-03,69.17845866411407
2004-07-04,69.029045146481
