date,auto buyers 
2004-01-01,9.624001947336941
2004-01-02,9.546389028406805
2004-01-03,9.468776109476668
2004-01-04,9.391163190546532
2004-01-05,9.313550271616394
2004-01-06,9.235937352686257
2004-01-07,9.158324433756121
2004-01-08,9.080711514825985
2004-01-09,9.003098595895848
2004-01-10,8.925485676965712
2004-01-11,8.847872758035574
2004-01-12,8.770259839105437
2004-01-13,8.692646920175301
2004-01-14,8.615034001245165
2004-01-15,8.537421082315028
2004-01-16,8.459808163384892
2004-01-17,8.382195244454755
2004-01-18,8.304582325524619
2004-01-19,8.226969406594481
2004-01-20,8.149356487664345
2004-01-21,8.071743568734208
2004-01-22,7.994130649804072
2004-01-23,7.916517730873935
2004-01-24,7.838904811943798
2004-01-25,7.761291893013662
2004-01-26,7.683678974083525
2004-01-27,7.606066055153388
2004-01-28,7.528453136223252
2004-01-29,7.450840217293115
2004-01-30,7.373227298362979
2004-01-31,7.295614379432842
2004-02-01,7.218001460502705
2004-02-02,7.3516681542157185
2004-02-03,7.485334847928732
2004-02-04,7.619001541641745
2004-02-05,7.752668235354758
2004-02-06,7.886334929067771
2004-02-07,8.020001622780784
2004-02-08,8.153668316493798
2004-02-09,8.28733501020681
2004-02-10,8.421001703919824
2004-02-11,8.554668397632836
2004-02-12,8.688335091345849
2004-02-13,8.822001785058863
2004-02-14,8.955668478771875
2004-02-15,9.089335172484889
2004-02-16,9.223001866197901
2004-02-17,9.356668559910915
2004-02-18,9.490335253623927
2004-02-19,9.624001947336941
2004-02-20,9.757668641049953
2004-02-21,9.891335334762967
2004-02-22,10.02500202847598
2004-02-23,10.158668722188994
2004-02-24,10.292335415902006
2004-02-25,10.42600210961502
2004-02-26,10.559668803328032
2004-02-27,10.693335497041046
2004-02-28,10.827002190754058
2004-02-29,10.960668884467072
2004-03-01,11.094335578180084
2004-03-02,11.15038935296296
2004-03-03,11.206443127745839
2004-03-04,11.262496902528715
2004-03-05,11.31855067731159
2004-03-06,11.374604452094466
2004-03-07,11.430658226877343
2004-03-08,11.48671200166022
2004-03-09,11.542765776443098
2004-03-10,11.598819551225974
2004-03-11,11.654873326008849
2004-03-12,11.710927100791725
2004-03-13,11.766980875574601
2004-03-14,11.823034650357478
2004-03-15,11.879088425140356
2004-03-16,11.935142199923233
2004-03-17,11.991195974706107
2004-03-18,12.047249749488984
2004-03-19,12.10330352427186
2004-03-20,12.159357299054737
2004-03-21,12.215411073837615
2004-03-22,12.271464848620491
2004-03-23,12.327518623403366
2004-03-24,12.383572398186242
2004-03-25,12.439626172969119
2004-03-26,12.495679947751995
2004-03-27,12.551733722534873
2004-03-28,12.60778749731775
2004-03-29,12.663841272100626
2004-03-30,12.7198950468835
2004-03-31,12.775948821666377
2004-04-01,12.832002596449254
