date,software
2004-01-01,101.41892295055692
2004-01-02,101.32077560576606
2004-01-03,101.2226282609752
2004-01-04,101.12448091618432
2004-01-05,101.02633357139348
2004-01-06,100.92818622660262
2004-01-07,100.83003888181176
2004-01-08,100.7318915370209
2004-01-09,100.63374419223003
2004-01-10,100.53559684743917
2004-01-11,100.4374495026483
2004-01-12,100.33930215785745
2004-01-13,100.24115481306659
2004-01-14,100.14300746827571
2004-01-15,100.04486012348485
2004-01-16,99.94671277869399
2004-01-17,99.84856543390313
2004-01-18,99.75041808911229
2004-01-19,99.65227074432143
2004-01-20,99.55412339953055
2004-01-21,99.4559760547397
2004-01-22,99.35782870994883
2004-01-23,99.25968136515797
2004-01-24,99.16153402036711
2004-01-25,99.06338667557624
2004-01-26,98.96523933078538
2004-01-27,98.86709198599452
2004-01-28,98.76894464120366
2004-01-29,98.6707972964128
2004-01-30,98.57264995162193
2004-01-31,98.47450260683107
2004-02-01,98.37635526204022
2004-02-02,98.27143913484998
2004-02-03,98.16652300765975
2004-02-04,98.06160688046953
2004-02-05,97.95669075327929
2004-02-06,97.85177462608905
2004-02-07,97.74685849889883
2004-02-08,97.6419423717086
2004-02-09,97.53702624451836
2004-02-10,97.43211011732814
2004-02-11,97.32719399013791
2004-02-12,97.22227786294766
2004-02-13,97.11736173575744
2004-02-14,97.01244560856722
2004-02-15,96.90752948137697
2004-02-16,96.80261335418675
2004-02-17,96.69769722699651
2004-02-18,96.59278109980627
2004-02-19,96.48786497261605
2004-02-20,96.38294884542582
2004-02-21,96.2780327182356
2004-02-22,96.17311659104536
2004-02-23,96.06820046385512
2004-02-24,95.9632843366649
2004-02-25,95.85836820947466
2004-02-26,95.75345208228443
2004-02-27,95.6485359550942
2004-02-28,95.54361982790397
2004-02-29,95.43870370071373
2004-03-01,95.33378757352351
2004-03-02,95.10477710234484
2004-03-03,94.87576663116616
2004-03-04,94.64675615998748
2004-03-05,94.4177456888088
2004-03-06,94.18873521763012
2004-03-07,93.95972474645144
2004-03-08,93.73071427527277
2004-03-09,93.50170380409409
2004-03-10,93.27269333291541
2004-03-11,93.04368286173673
2004-03-12,92.81467239055806
2004-03-13,92.58566191937939
2004-03-14,92.35665144820071
2004-03-15,92.12764097702204
2004-03-16,91.89863050584334
2004-03-17,91.66962003466467
2004-03-18,91.44060956348599
2004-03-19,91.21159909230732
2004-03-20,90.98258862112864
2004-03-21,90.75357814994997
2004-03-22,90.5245676787713
2004-03-23,90.29555720759261
2004-03-24,90.06654673641394
2004-03-25,89.83753626523526
2004-03-26,89.60852579405659
2004-03-27,89.37951532287791
2004-03-28,89.15050485169924
2004-03-29,88.92149438052054
2004-03-30,88.69248390934187
2004-03-31,88.46347343816319
2004-04-01,88.23446296698452
2004-04-02,88.13304404403397
2004-04-03,88.03162512108341
2004-04-04,87.93020619813285
2004-04-05,87.8287872751823
2004-04-06,87.72736835223174
2004-04-07,87.62594942928119
2004-04-08,87.52453050633062
2004-04-09,87.42311158338006
2004-04-10,87.3216926604295
2004-04-11,87.22027373747895
2004-04-12,87.1188548145284
2004-04-13,87.01743589157783
2004-04-14,86.91601696862729
2004-04-15,86.81459804567672
2004-04-16,86.71317912272617
2004-04-17,86.61176019977562
2004-04-18,86.51034127682505
2004-04-19,86.4089223538745
2004-04-20,86.30750343092393
2004-04-21,86.20608450797339
2004-04-22,86.10466558502283
2004-04-23,86.00324666207227
2004-04-24,85.90182773912171
2004-04-25,85.80040881617116
2004-04-26,85.6989898932206
2004-04-27,85.59757097027004
2004-04-28,85.49615204731948
2004-04-29,85.39473312436893
2004-04-30,85.29331420141837
2004-05-01,85.19189527846781
2004-05-02,85.15917949687086
2004-05-03,85.12646371527391
2004-05-04,85.09374793367695
2004-05-05,85.06103215208
2004-05-06,85.02831637048305
2004-05-07,84.99560058888609
2004-05-08,84.96288480728914
2004-05-09,84.93016902569218
2004-05-10,84.89745324409522
2004-05-11,84.86473746249827
2004-05-12,84.83202168090132
2004-05-13,84.79930589930437
2004-05-14,84.76659011770741
2004-05-15,84.73387433611046
2004-05-16,84.70115855451351
2004-05-17,84.66844277291655
2004-05-18,84.6357269913196
2004-05-19,84.60301120972265
2004-05-20,84.57029542812569
2004-05-21,84.53757964652874
2004-05-22,84.50486386493179
2004-05-23,84.47214808333483
2004-05-24,84.43943230173788
2004-05-25,84.40671652014092
2004-05-26,84.37400073854397
2004-05-27,84.341284956947
2004-05-28,84.30856917535006
2004-05-29,84.27585339375311
2004-05-30,84.24313761215615
2004-05-31,84.2104218305592
2004-06-01,84.17770604896225
2004-06-02,84.31293127956299
2004-06-03,84.44815651016373
2004-06-04,84.58338174076448
2004-06-05,84.71860697136522
2004-06-06,84.85383220196596
2004-06-07,84.9890574325667
2004-06-08,85.12428266316745
2004-06-09,85.25950789376819
2004-06-10,85.39473312436893
2004-06-11,85.52995835496966
2004-06-12,85.66518358557042
2004-06-13,85.80040881617116
2004-06-14,85.9356340467719
2004-06-15,86.07085927737263
2004-06-16,86.20608450797339
2004-06-17,86.34130973857414
2004-06-18,86.47653496917486
2004-06-19,86.61176019977562
2004-06-20,86.74698543037636
2004-06-21,86.88221066097711
2004-06-22,87.01743589157783
2004-06-23,87.15266112217859
2004-06-24,87.28788635277932
2004-06-25,87.42311158338006
2004-06-26,87.5583368139808
2004-06-27,87.69356204458155
2004-06-28,87.8287872751823
2004-06-29,87.96401250578303
2004-06-30,88.09923773638377
2004-07-01,88.23446296698452
2004-07-02,88.23446296698452
2004-07-03,88.23446296698452
2004-07-04,88.23446296698452
