date,air travel 
2004-01-01,86.7991106302416
2004-01-02,86.60311263849589
2004-01-03,86.40711464675017
2004-01-04,86.21111665500447
2004-01-05,86.01511866325876
2004-01-06,85.81912067151306
2004-01-07,85.62312267976735
2004-01-08,85.42712468802165
2004-01-09,85.23112669627594
2004-01-10,85.03512870453024
2004-01-11,84.83913071278452
2004-01-12,84.64313272103882
2004-01-13,84.44713472929311
2004-01-14,84.2511367375474
2004-01-15,84.0551387458017
2004-01-16,83.85914075405599
2004-01-17,83.66314276231029
2004-01-18,83.46714477056457
2004-01-19,83.27114677881887
2004-01-20,83.07514878707316
2004-01-21,82.87915079532746
2004-01-22,82.68315280358176
2004-01-23,82.48715481183605
2004-01-24,82.29115682009034
2004-01-25,82.09515882834462
2004-01-26,81.89916083659892
2004-01-27,81.70316284485321
2004-01-28,81.50716485310751
2004-01-29,81.3111668613618
2004-01-30,81.1151688696161
2004-01-31,80.91917087787039
2004-02-01,80.72317288612469
2004-02-02,80.7531036139282
2004-02-03,80.78303434173175
2004-02-04,80.81296506953527
2004-02-05,80.84289579733881
2004-02-06,80.87282652514234
2004-02-07,80.90275725294588
2004-02-08,80.9326879807494
2004-02-09,80.96261870855294
2004-02-10,80.99254943635647
2004-02-11,81.02248016415999
2004-02-12,81.05241089196353
2004-02-13,81.08234161976705
2004-02-14,81.1122723475706
2004-02-15,81.14220307537413
2004-02-16,81.17213380317766
2004-02-17,81.20206453098119
2004-02-18,81.23199525878472
2004-02-19,81.26192598658825
2004-02-20,81.29185671439178
2004-02-21,81.32178744219532
2004-02-22,81.35171816999885
2004-02-23,81.38164889780238
2004-02-24,81.41157962560591
2004-02-25,81.44151035340944
2004-02-26,81.47144108121297
2004-02-27,81.5013718090165
2004-02-28,81.53130253682004
2004-02-29,81.56123326462357
2004-03-01,81.5911639924271
2004-03-02,81.61916370553362
2004-03-03,81.64716341864016
2004-03-04,81.67516313174669
2004-03-05,81.70316284485321
2004-03-06,81.73116255795975
2004-03-07,81.75916227106627
2004-03-08,81.7871619841728
2004-03-09,81.81516169727934
2004-03-10,81.84316141038587
2004-03-11,81.8711611234924
2004-03-12,81.89916083659892
2004-03-13,81.92716054970546
2004-03-14,81.95516026281199
2004-03-15,81.98315997591851
2004-03-16,82.01115968902504
2004-03-17,82.03915940213157
2004-03-18,82.0671591152381
2004-03-19,82.09515882834462
2004-03-20,82.12315854145116
2004-03-21,82.15115825455769
2004-03-22,82.17915796766421
2004-03-23,82.20715768077075
2004-03-24,82.23515739387727
2004-03-25,82.26315710698381
2004-03-26,82.29115682009034
2004-03-27,82.31915653319687
2004-03-28,82.3471562463034
2004-03-29,82.37515595940992
2004-03-30,82.40315567251646
2004-03-31,82.43115538562299
2004-04-01,82.45915509872951
2004-04-02,82.22769080371553
2004-04-03,81.99622650870155
2004-04-04,81.76476221368759
2004-04-05,81.53329791867361
2004-04-06,81.30183362365963
2004-04-07,81.07036932864565
2004-04-08,80.83890503363168
2004-04-09,80.60744073861768
2004-04-10,80.3759764436037
2004-04-11,80.14451214858974
2004-04-12,79.91304785357576
2004-04-13,79.68158355856178
2004-04-14,79.4501192635478
2004-04-15,79.21865496853383
2004-04-16,78.98719067351985
2004-04-17,78.75572637850587
2004-04-18,78.52426208349189
2004-04-19,78.29279778847793
2004-04-20,78.06133349346395
2004-04-21,77.82986919844997
2004-04-22,77.59840490343599
2004-04-23,77.36694060842201
2004-04-24,77.13547631340802
2004-04-25,76.90401201839404
2004-04-26,76.67254772338008
2004-04-27,76.4410834283661
2004-04-28,76.20961913335212
2004-04-29,75.97815483833814
2004-04-30,75.74669054332416
2004-05-01,75.51522624831019
2004-05-02,75.82322309248201
2004-05-03,76.13121993665384
2004-05-04,76.43921678082566
2004-05-05,76.74721362499749
2004-05-06,77.05521046916931
2004-05-07,77.36320731334114
2004-05-08,77.67120415751296
2004-05-09,77.97920100168479
2004-05-10,78.28719784585661
2004-05-11,78.59519469002844
2004-05-12,78.90319153420026
2004-05-13,79.21118837837209
2004-05-14,79.51918522254391
2004-05-15,79.82718206671574
2004-05-16,80.13517891088756
2004-05-17,80.44317575505939
2004-05-18,80.75117259923121
2004-05-19,81.05916944340304
2004-05-20,81.36716628757488
2004-05-21,81.67516313174669
2004-05-22,81.98315997591851
2004-05-23,82.29115682009034
2004-05-24,82.59915366426216
2004-05-25,82.90715050843399
2004-05-26,83.21514735260581
2004-05-27,83.52314419677764
2004-05-28,83.83114104094946
2004-05-29,84.13913788512129
2004-05-30,84.44713472929311
2004-05-31,84.75513157346494
2004-06-01,85.06312841763676
2004-06-02,84.97632930700652
2004-06-03,84.88953019637627
2004-06-04,84.80273108574605
2004-06-05,84.7159319751158
2004-06-06,84.62913286448556
2004-06-07,84.54233375385532
2004-06-08,84.45553464322506
2004-06-09,84.36873553259483
2004-06-10,84.28193642196459
2004-06-11,84.19513731133435
2004-06-12,84.10833820070411
2004-06-13,84.02153909007386
2004-06-14,83.93473997944362
2004-06-15,83.84794086881338
2004-06-16,83.76114175818314
2004-06-17,83.6743426475529
2004-06-18,83.58754353692265
2004-06-19,83.50074442629241
2004-06-20,83.41394531566216
2004-06-21,83.32714620503194
2004-06-22,83.2403470944017
2004-06-23,83.15354798377145
2004-06-24,83.06674887314121
2004-06-25,82.97994976251096
2004-06-26,82.89315065188072
2004-06-27,82.80635154125048
2004-06-28,82.71955243062024
2004-06-29,82.63275331999
2004-06-30,82.54595420935975
2004-07-01,82.45915509872951
2004-07-02,82.20715768077075
2004-07-03,81.95516026281199
2004-07-04,81.70316284485321
