date,advertising & marketing 
2004-01-01,25.684101391673032
2004-01-02,25.73283782695135
2004-01-03,25.781574262229668
2004-01-04,25.830310697507983
2004-01-05,25.8790471327863
2004-01-06,25.92778356806462
2004-01-07,25.976520003342934
2004-01-08,26.025256438621252
2004-01-09,26.07399287389957
2004-01-10,26.122729309177885
2004-01-11,26.171465744456203
2004-01-12,26.22020217973452
2004-01-13,26.268938615012836
2004-01-14,26.317675050291154
2004-01-15,26.366411485569472
2004-01-16,26.415147920847787
2004-01-17,26.463884356126105
2004-01-18,26.51262079140442
2004-01-19,26.561357226682738
2004-01-20,26.610093661961056
2004-01-21,26.65883009723937
2004-01-22,26.70756653251769
2004-01-23,26.756302967796007
2004-01-24,26.80503940307432
2004-01-25,26.85377583835264
2004-01-26,26.902512273630958
2004-01-27,26.951248708909272
2004-01-28,26.99998514418759
2004-01-29,27.04872157946591
2004-01-30,27.097458014744223
2004-01-31,27.14619445002254
2004-02-01,27.19493088530086
2004-02-02,27.16367234405339
2004-02-03,27.132413802805914
2004-02-04,27.101155261558443
2004-02-05,27.06989672031097
2004-02-06,27.038638179063497
2004-02-07,27.007379637816026
2004-02-08,26.976121096568555
2004-02-09,26.94486255532108
2004-02-10,26.91360401407361
2004-02-11,26.882345472826138
2004-02-12,26.851086931578664
2004-02-13,26.819828390331192
2004-02-14,26.78856984908372
2004-02-15,26.757311307836247
2004-02-16,26.726052766588776
2004-02-17,26.6947942253413
2004-02-18,26.66353568409383
2004-02-19,26.63227714284636
2004-02-20,26.601018601598884
2004-02-21,26.569760060351413
2004-02-22,26.538501519103942
2004-02-23,26.507242977856468
2004-02-24,26.475984436608996
2004-02-25,26.444725895361525
2004-02-26,26.41346735411405
2004-02-27,26.38220881286658
2004-02-28,26.35095027161911
2004-02-29,26.319691730371634
2004-03-01,26.288433189124163
2004-03-02,26.317675050291154
2004-03-03,26.34691691145814
2004-03-04,26.376158772625136
2004-03-05,26.405400633792127
2004-03-06,26.434642494959114
2004-03-07,26.463884356126105
2004-03-08,26.493126217293092
2004-03-09,26.522368078460087
2004-03-10,26.551609939627077
2004-03-11,26.580851800794065
2004-03-12,26.610093661961056
2004-03-13,26.639335523128043
2004-03-14,26.668577384295038
2004-03-15,26.69781924546203
2004-03-16,26.727061106629016
2004-03-17,26.756302967796007
2004-03-18,26.785544828962994
2004-03-19,26.814786690129985
2004-03-20,26.84402855129698
2004-03-21,26.873270412463967
2004-03-22,26.902512273630958
2004-03-23,26.931754134797945
2004-03-24,26.960995995964936
2004-03-25,26.99023785713193
2004-03-26,27.019479718298918
2004-03-27,27.04872157946591
2004-03-28,27.077963440632896
2004-03-29,27.107205301799887
2004-03-30,27.13644716296688
2004-03-31,27.16568902413387
2004-04-01,27.19493088530086
2004-04-02,27.07406452581063
2004-04-03,26.95319816632041
2004-04-04,26.83233180683018
2004-04-05,26.711465447339958
2004-04-06,26.59059908784973
2004-04-07,26.4697327283595
2004-04-08,26.348866368869277
2004-04-09,26.22800000937905
2004-04-10,26.107133649888826
2004-04-11,25.986267290398597
2004-04-12,25.865400930908372
2004-04-13,25.744534571418146
2004-04-14,25.62366821192792
2004-04-15,25.502801852437695
2004-04-16,25.38193549294747
2004-04-17,25.26106913345724
2004-04-18,25.140202773967015
2004-04-19,25.01933641447679
2004-04-20,24.898470054986564
2004-04-21,24.77760369549634
2004-04-22,24.65673733600611
2004-04-23,24.535870976515888
2004-04-24,24.41500461702566
2004-04-25,24.294138257535437
2004-04-26,24.173271898045208
2004-04-27,24.05240553855498
2004-04-28,23.931539179064757
2004-04-29,23.810672819574528
2004-04-30,23.689806460084306
2004-05-01,23.568940100594077
2004-05-02,23.588434674705404
2004-05-03,23.60792924881673
2004-05-04,23.627423822928055
2004-05-05,23.646918397039386
2004-05-06,23.666412971150713
2004-05-07,23.68590754526204
2004-05-08,23.705402119373364
2004-05-09,23.72489669348469
2004-05-10,23.74439126759602
2004-05-11,23.763885841707346
2004-05-12,23.78338041581867
2004-05-13,23.80287498993
2004-05-14,23.822369564041328
2004-05-15,23.841864138152655
2004-05-16,23.86135871226398
2004-05-17,23.880853286375306
2004-05-18,23.900347860486633
2004-05-19,23.919842434597957
2004-05-20,23.939337008709284
2004-05-21,23.958831582820615
2004-05-22,23.978326156931942
2004-05-23,23.997820731043266
2004-05-24,24.017315305154593
2004-05-25,24.03680987926592
2004-05-26,24.056304453377248
2004-05-27,24.07579902748857
2004-05-28,24.0952936015999
2004-05-29,24.11478817571123
