date,real estate 
2004-01-01,91.85845471658043
2004-01-02,91.7967218841096
2004-01-03,91.73498905163879
2004-01-04,91.67325621916797
2004-01-05,91.61152338669713
2004-01-06,91.54979055422632
2004-01-07,91.4880577217555
2004-01-08,91.42632488928469
2004-01-09,91.36459205681386
2004-01-10,91.30285922434304
2004-01-11,91.24112639187223
2004-01-12,91.1793935594014
2004-01-13,91.11766072693058
2004-01-14,91.05592789445976
2004-01-15,90.99419506198893
2004-01-16,90.93246222951812
2004-01-17,90.8707293970473
2004-01-18,90.80899656457647
2004-01-19,90.74726373210567
2004-01-20,90.68553089963484
2004-01-21,90.62379806716402
2004-01-22,90.5620652346932
2004-01-23,90.50033240222237
2004-01-24,90.43859956975156
2004-01-25,90.37686673728074
2004-01-26,90.31513390480993
2004-01-27,90.2534010723391
2004-01-28,90.19166823986828
2004-01-29,90.12993540739745
2004-01-30,90.06820257492663
2004-01-31,90.00646974245582
2004-02-01,89.944736909985
2004-02-02,90.14270771756384
2004-02-03,90.34067852514266
2004-02-04,90.5386493327215
2004-02-05,90.73662014030035
2004-02-06,90.93459094787917
2004-02-07,91.13256175545801
2004-02-08,91.33053256303685
2004-02-09,91.5285033706157
2004-02-10,91.72647417819452
2004-02-11,91.92444498577336
2004-02-12,92.1224157933522
2004-02-13,92.32038660093104
2004-02-14,92.51835740850989
2004-02-15,92.71632821608873
2004-02-16,92.91429902366755
2004-02-17,93.1122698312464
2004-02-18,93.31024063882523
2004-02-19,93.50821144640406
2004-02-20,93.7061822539829
2004-02-21,93.90415306156174
2004-02-22,94.10212386914057
2004-02-23,94.30009467671941
2004-02-24,94.49806548429825
2004-02-25,94.69603629187709
2004-02-26,94.89400709945592
2004-02-27,95.09197790703476
2004-02-28,95.2899487146136
2004-02-29,95.48791952219243
2004-03-01,95.68589032977127
2004-03-02,95.62415749730046
2004-03-03,95.56242466482963
2004-03-04,95.50069183235881
2004-03-05,95.43895899988799
2004-03-06,95.37722616741716
2004-03-07,95.31549333494635
2004-03-08,95.25376050247553
2004-03-09,95.1920276700047
2004-03-10,95.1302948375339
2004-03-11,95.06856200506307
2004-03-12,95.00682917259226
2004-03-13,94.94509634012142
2004-03-14,94.8833635076506
2004-03-15,94.82163067517979
2004-03-16,94.75989784270897
2004-03-17,94.69816501023816
2004-03-18,94.63643217776733
2004-03-19,94.57469934529651
2004-03-20,94.5129665128257
2004-03-21,94.45123368035486
2004-03-22,94.38950084788405
2004-03-23,94.32776801541323
2004-03-24,94.2660351829424
2004-03-25,94.2043023504716
2004-03-26,94.14256951800077
2004-03-27,94.08083668552996
2004-03-28,94.01910385305914
2004-03-29,93.9573710205883
2004-03-30,93.89563818811749
2004-03-31,93.83390535564666
2004-04-01,93.77217252317585
2004-04-02,93.67648663284608
2004-04-03,93.5808007425163
2004-04-04,93.48511485218654
2004-04-05,93.38942896185675
2004-04-06,93.29374307152699
2004-04-07,93.19805718119723
2004-04-08,93.10237129086745
2004-04-09,93.00668540053768
2004-04-10,92.9109995102079
2004-04-11,92.81531361987814
2004-04-12,92.71962772954836
2004-04-13,92.62394183921859
2004-04-14,92.52825594888883
2004-04-15,92.43257005855904
2004-04-16,92.33688416822928
2004-04-17,92.24119827789951
2004-04-18,92.14551238756974
2004-04-19,92.04982649723996
2004-04-20,91.95414060691019
2004-04-21,91.85845471658043
2004-04-22,91.76276882625065
2004-04-23,91.66708293592087
2004-04-24,91.57139704559111
2004-04-25,91.47571115526134
2004-04-26,91.38002526493156
2004-04-27,91.2843393746018
2004-04-28,91.18865348427202
2004-04-29,91.09296759394225
2004-04-30,90.99728170361247
2004-05-01,90.90159581328271
2004-05-02,90.83986298081189
2004-05-03,90.77813014834108
2004-05-04,90.71639731587025
2004-05-05,90.65466448339942
2004-05-06,90.5929316509286
2004-05-07,90.53119881845778
2004-05-08,90.46946598598697
2004-05-09,90.40773315351615
2004-05-10,90.34600032104532
2004-05-11,90.28426748857451
2004-05-12,90.22253465610369
2004-05-13,90.16080182363287
2004-05-14,90.09906899116204
2004-05-15,90.03733615869122
2004-05-16,89.97560332622041
2004-05-17,89.91387049374958
2004-05-18,89.85213766127877
2004-05-19,89.79040482880795
2004-05-20,89.72867199633713
2004-05-21,89.6669391638663
2004-05-22,89.60520633139548
2004-05-23,89.54347349892467
2004-05-24,89.48174066645385
2004-05-25,89.42000783398302
2004-05-26,89.35827500151221
2004-05-27,89.29654216904139
2004-05-28,89.23480933657058
2004-05-29,89.17307650409974
2004-05-30,89.11134367162892
2004-05-31,89.0496108391581
2004-06-01,88.98787800668728
2004-06-02,89.17924978734683
2004-06-03,89.37062156800637
2004-06-04,89.56199334866591
2004-06-05,89.75336512932545
2004-06-06,89.944736909985
2004-06-07,90.13610869064455
2004-06-08,90.32748047130409
2004-06-09,90.51885225196362
2004-06-10,90.71022403262316
2004-06-11,90.90159581328271
2004-06-12,91.09296759394225
2004-06-13,91.2843393746018
2004-06-14,91.47571115526134
2004-06-15,91.66708293592087
2004-06-16,91.85845471658043
2004-06-17,92.04982649723996
2004-06-18,92.24119827789951
2004-06-19,92.43257005855904
2004-06-20,92.62394183921859
2004-06-21,92.81531361987814
2004-06-22,93.00668540053768
2004-06-23,93.19805718119723
2004-06-24,93.38942896185675
2004-06-25,93.5808007425163
2004-06-26,93.77217252317585
2004-06-27,93.96354430383539
2004-06-28,94.15491608449494
2004-06-29,94.34628786515447
2004-06-30,94.53765964581402
2004-07-01,94.72903142647355
2004-07-02,94.72903142647355
2004-07-03,94.72903142647355
2004-07-04,94.72903142647355
